term	reading	rank	normalized_form
その間	ソノアイダ	1743	その間
二十	ハタチ	1744	20
了解	リョウカイ	1745	了解
発言	ハツゲン	1746	発言
その手	ソノテ	1747	その手
大した	タイシタ	1748	大した
組む	クム	1749	組む
手段	シュダン	1750	手段
最悪	サイアク	1751	最悪
呼び出す	ヨビダス	1752	呼び出す
ありがたい	アリガタイ	1753	有り難い
誤解	ゴカイ	1754	誤解
メートル	メートル	1755	メートル
訳	ワケ	1756	訳
吐く	ハク	1757	吐く
告白	コクハク	1758	告白
喉	ノド	1759	喉
転がる	コロガル	1760	転がる
旅	タビ	1761	旅
見た目	ミタメ	1762	見た目
バレる	バレル	1763	ばれる
濡れる	ヌレル	1764	濡れる
呼吸	コキュウ	1765	呼吸
素晴らしい	スバラシイ	1766	素晴らしい
出来事	デキゴト	1767	出来事
行ってくる	イッテクル	1768	行ってくる
同様	ドウヨウ	1769	同様
受け止める	ウケトメル	1770	受け止める
少しずつ	スコシズツ	1771	少しずつ
実に	ジツニ	1772	実に
自覚	ジカク	1773	自覚
きれい	キレイ	1774	奇麗
見送る	ミオクル	1775	見送る
参る	マイル	1776	参る
爆発	バクハツ	1777	爆発
動揺	ドウヨウ	1778	動揺
着替える	キガエル	1779	着替える
解く	トク	1780	解く
連れてくる	ツレテクル	1781	連れてくる
増す	マス	1782	増す
自体	ジタイ	1783	自体
東	ヒガシ	1784	東
ぼんやり	ボンヤリ	1785	ぼんやり
どうにか	ドウニカ	1786	どうにか
となると	トナルト	1787	となると
とはいえ	トハイエ	1788	とはいえ
精神	セイシン	1789	精神
さっきから	サッキカラ	1790	さっきから
飛ばす	トバス	1791	飛ばす
文句	モンク	1792	文句
踏む	フム	1793	踏む
時点	ジテン	1794	時点
発生	ハッセイ	1795	発生
あとで	アトデ	1796	あとで
付ける	ツケル	1797	付ける
つかむ	ツカム	1798	掴む
沈む	シズム	1799	沈む
と同じように	トオナジヨウニ	1800	と同じように
内	ウチ	1801	内
抱く	ダク	1802	抱く
傷つける	キズツケル	1803	傷付ける
掃除	ソウジ	1804	掃除
ころ	コロ	1805	頃
二人とも	フタリトモ	1806	二人とも
はじめる	ハジメル	1807	始める
道具	ドウグ	1808	道具
現場	ゲンバ	1809	現場
春	ハル	1810	春
歴史	レキシ	1811	歴史
依頼	イライ	1812	依頼
足音	アシオト	1813	足音
術	ジュツ	1814	術
全	ゼン	1815	全
たまる	タマル	1816	たまる
手にする	テニスル	1817	手にする
一枚	イチマイ	1818	一枚
チャンス	チャンス	1819	チャンス
第二	ダイニ	1820	第二
ついでに	ツイデニ	1821	ついでに
思い出	オモイデ	1822	思い出
歌	ウタ	1823	歌
覆う	オオウ	1824	覆う
庭	ニワ	1825	庭
ただいま	タダイマ	1826	只今
応える	コタエル	1827	答える
だい	ダイ	1828	だい
ありがとうございました	アリガトウゴザイマシタ	1829	ありがとうございました
恐れる	オソレル	1830	恐れる
毒	ドク	1831	毒
騒ぐ	サワグ	1832	騒ぐ
背負う	セオウ	1833	背負う
あまりに	アマリニ	1834	あまりに
大学	ダイガク	1835	大学
みな	ミナ	1836	皆
底	ソコ	1837	底
ぶつかる	ブツカル	1838	ぶつかる
素敵	ステキ	1839	素敵
少々	ショウショウ	1840	少々
がな	ガナ	1841	仮名
微妙	ビミョウ	1842	微妙
担当	タントウ	1843	担当
お店	オミセ	1844	御店
怪我	ケガ	1845	怪我
ひとり	ヒトリ	1846	一人
同じく	オナジク	1847	同じく
例えば	タトエバ	1848	例えば
ほうがいい	ホウガイイ	1849	ほうがいい
三十	サンジュウ	1850	30
直後	チョクゴ	1851	直後
調査	チョウサ	1852	調査
今年	コトシ	1853	今年
応援	オウエン	1854	応援
使用	シヨウ	1855	使用
言いながら	イイナガラ	1856	言いながら
早速	サッソク	1857	早速
玄関	ゲンカン	1858	玄関
満ちる	ミチル	1859	満ちる
予感	ヨカン	1860	予感
心の中	ココロノナカ	1861	心の中
片手	カタテ	1862	片手
逃げ出す	ニゲダス	1863	逃げ出す
速度	ソクド	1864	速度
飛び込む	トビコム	1865	飛び込む
探る	サグル	1866	探る
こら	コラ	1867	此れ
刺激	シゲキ	1868	刺激
物語	モノガタリ	1869	物語
男子	ダンシ	1870	男子
ありがと	アリガト	1871	有り難う
もしも	モシモ	1872	もしも
いいや	イイヤ	1873	いいや
硬い	カタイ	1874	固い
かあ	カア	1875	か
ひと	ヒト	1876	人
印象	インショウ	1877	印象
感	カン	1878	感
願い	ネガイ	1879	願い
いくつか	イクツカ	1880	いくつか
にしては	ニシテハ	1881	にしては
夫	オット	1882	夫
意志	イシ	1883	意志
あくまで	アクマデ	1884	飽くまで
魚	サカナ	1885	魚
もともと	モトモト	1886	元々
勝利	ショウリ	1887	勝利
意思	イシ	1888	意思
もっとも	モットモ	1889	尤も
こうする	コウスル	1890	こうする
察する	サッスル	1891	察する
太陽	タイヨウ	1892	太陽
ますます	マスマス	1893	益々
歌う	ウタウ	1894	歌う
大体	ダイタイ	1895	大体
才能	サイノウ	1896	才能
と思ったら	トオモッタラ	1897	と思ったら
はずがない	ハズガナイ	1898	はずがない
果たす	ハタス	1899	果たす
選択	センタク	1900	選択
並べる	ナラベル	1901	並べる
とっても	トッテモ	1902	迚も
なか	ナカ	1903	中
名乗る	ナノル	1904	名乗る
東京	トウキョウ	1905	東京
味わう	アジワウ	1906	味わう
燃える	モエル	1907	燃える
自分でも	ジブンデモ	1908	自分でも
真似	マネ	1909	真似
越える	コエル	1910	越える
左手	ヒダリテ	1911	左手
懐かしい	ナツカシイ	1912	懐かしい
パン	パン	1913	パン
入り口	イリグチ	1914	入り口
部下	ブカ	1915	部下
間に	アイダニ	1916	間に
鬼	オニ	1917	鬼
幼い	オサナイ	1918	幼い
間違える	マチガエル	1919	間違える
一度も	イチドモ	1920	一度も
組	クミ	1921	組
ほんの	ホンノ	1922	本の
下げる	サゲル	1923	下げる
偉い	エライ	1924	偉い
捕まえる	ツカマエル	1925	捕まえる
漂う	タダヨウ	1926	漂う
鏡	カガミ	1927	鏡
笑い	ワライ	1928	笑い
香り	カオリ	1929	香り
この前	コノマエ	1930	この前
優秀	ユウシュウ	1931	優秀
込める	コメル	1932	込める
発する	ハッスル	1933	発する
機	キ	1934	機
はずです	ハズデス	1935	はずです
会	カイ	1936	会
あいつら	アイツラ	1937	あいつら
たっぷり	タップリ	1938	たっぷり
わざと	ワザト	1939	態と
崩れる	クズレル	1940	崩れる
いいこと	イイコト	1941	いいこと
証明	ショウメイ	1942	証明
支配	シハイ	1943	支配
潰す	ツブス	1944	潰す
様々	サマザマ	1945	様々
感心	カンシン	1946	感心
姿勢	シセイ	1947	姿勢
先日	センジツ	1948	先日
今すぐ	イマスグ	1949	今すぐ
土地	トチ	1950	土地
神様	カミサマ	1951	神様
あらゆる	アラユル	1952	あらゆる
いろんな	イロンナ	1953	色んな
地下	チカ	1954	地下
承知	ショウチ	1955	承知
に置いて	ニオイテ	1956	に置いて
挟む	ハサム	1957	挟む
年齢	ネンレイ	1958	年齢
とおり	トオリ	1959	通り
西	ニシ	1960	西
事故	ジコ	1961	事故
やって来る	ヤッテクル	1962	やって来る
訓練	クンレン	1963	訓練
学生	ガクセイ	1964	学生
用事	ヨウジ	1965	用事
一年	イチネン	1966	一年
捜す	サガス	1967	探す
組織	ソシキ	1968	組織
地上	チジョウ	1969	地上
責める	セメル	1970	責める
わけがない	ワケガナイ	1971	わけがない
なす	ナス	1972	成す
固い	カタイ	1973	固い
おいおい	オイオイ	1974	おいおい
すっごい	スッゴイ	1975	凄い
防ぐ	フセグ	1976	防ぐ
祈る	イノル	1977	祈る
整える	トトノエル	1978	整える
帰り	カエリ	1979	帰り
温かい	アタタカイ	1980	温かい
把握	ハアク	1981	把握
覗く	ノゾク	1982	覗く
九	キュウ	1983	9
込む	コム	1984	込む
笑い声	ワライゴエ	1985	笑い声
音がする	オトガスル	1986	音がする
効く	キク	1987	利く
冬	フユ	1988	冬
ように言う	ヨウニイウ	1989	ように言う
漏れる	モレル	1990	漏れる
勇気	ユウキ	1991	勇気
預ける	アズケル	1992	預ける
仕方がない	シカタガナイ	1993	仕方がない
表現	ヒョウゲン	1994	表現
テレビ	テレビ	1995	テレビ
揃う	ソロウ	1996	揃う
記録	キロク	1997	記録
育つ	ソダツ	1998	育つ
まくる	マクル	1999	捲る
好きになる	スキニナル	2000	好きになる
金	キン	2002	金
宣言	センゲン	2004	宣言
体力	タイリョク	2005	体力
絶望	ゼツボウ	2006	絶望
まっすぐ	マッスグ	2007	真っ直ぐ
よろしくお願いします	ヨロシクオネガイシマス	2008	よろしくお願いします
もうちょっと	モウチョット	2009	もうちょっと
ご飯	ゴハン	2010	御飯
秒	ビョウ	2011	秒
空く	アク	2012	空く
吹く	フク	2013	吹く
強引	ゴウイン	2014	強引
百	ヒャク	2015	100
平和	ヘイワ	2016	平和
甘える	アマエル	2017	甘える
だけでなく	ダケデナク	2018	だけでなく
数日	スウジツ	2019	数日
骨	ホネ	2020	骨
だの	ダノ	2021	だの
情けない	ナサケナイ	2022	情けない
決意	ケツイ	2023	決意
知れる	シレル	2024	知れる
言い訳	イイワケ	2025	言い訳
下りる	オリル	2026	下りる
観察	カンサツ	2027	観察
きつい	キツイ	2028	きつい
袋	フクロ	2029	袋
違和感	イワカン	2030	違和感
おっしゃる	オッシャル	2031	おっしゃる
その通り	ソノトオリ	2032	その通り
氷	コオリ	2033	氷
つらい	ツライ	2034	辛い
北	キタ	2035	北
出て行く	デテイク	2036	出て行く
寄せる	ヨセル	2037	寄せる
しょうがない	ショウガナイ	2038	しょうがない
端	ハシ	2039	端
メンバー	メンバー	2040	メンバー
助け	タスケ	2041	助ける
布	ヌノ	2042	布
どうしようもない	ドウシヨウモナイ	2043	どうしようもない
丁寧	テイネイ	2044	丁寧
土	ツチ	2045	土
たまたま	タマタマ	2046	偶々
だいぶ	ダイブ	2047	大分
下手	ヘタ	2048	下手
永遠	エイエン	2049	永遠
評価	ヒョウカ	2050	評価
景色	ケシキ	2051	景色
いくらでも	イクラデモ	2052	いくらでも
１人	ヒトリ	2053	一人
びっくり	ビックリ	2054	びっくり
掛ける	カケル	2055	掛ける
固まる	カタマル	2056	固まる
美人	ビジン	2057	美人
だらけ	ダラケ	2058	だらけ
地獄	ジゴク	2059	地獄
今に	イマニ	2060	今に
この先	コノサキ	2061	この先
外れる	ハズレル	2062	外れる
翌日	ヨクジツ	2063	翌日
小	ショウ	2064	小
埋める	ウメル	2065	埋める
動物	ドウブツ	2066	動物
隙間	スキマ	2067	隙間
いかが	イカガ	2068	如何
油断	ユダン	2069	油断
貫く	ツラヌク	2070	貫く
線	セン	2071	線
申し訳ありません	モウシワケアリマセン	2072	申し訳ありません
続き	ツヅキ	2073	続く
ついている	ツイテイル	2074	ついている
何だか	ナンダカ	2075	何だか
氏	シ	2076	氏
刺す	サス	2077	刺す
見かける	ミカケル	2078	見掛ける
控える	ヒカエル	2079	控える
靴	クツ	2080	靴
特殊	トクシュ	2081	特殊
主人	シュジン	2082	主人
つ	ツ	2083	つう
目標	モクヒョウ	2084	目標
みたいです	ミタイデス	2085	みたいです
やり方	ヤリカタ	2086	遣り方
傷つく	キズツク	2087	傷付く
教師	キョウシ	2088	教師
他にも	ホカニモ	2089	他にも
青	アオ	2090	青
泳ぐ	オヨグ	2091	泳ぐ
騒ぎ	サワギ	2092	騒ぎ
届ける	トドケル	2093	届ける
おかげ	オカゲ	2094	御陰
派手	ハデ	2095	派手
崩す	クズス	2096	崩す
仕掛ける	シカケル	2097	仕掛ける
からこそ	カラコソ	2098	からこそ
本日	ホンジツ	2099	本日
だいたい	ダイタイ	2100	大体
力	リョク	2101	力
実力	ジツリョク	2102	実力
踊る	オドル	2103	踊る
次第	シダイ	2104	次第
雲	クモ	2105	雲
たびに	タビニ	2106	たびに
捕まる	ツカマル	2107	捕まる
破る	ヤブル	2108	破る
巻く	マク	2109	巻く
もう一つ	モウヒトツ	2110	もう一つ
役目	ヤクメ	2111	役目
３人	サンニン	2112	３人
自慢	ジマン	2113	自慢
今でも	イマデモ	2114	今でも
駅	エキ	2115	駅
要求	ヨウキュウ	2116	要求
高校	コウコウ	2117	高校
手を出す	テヲダス	2118	手を出す
そしたら	ソシタラ	2119	そしたら
ぶつける	ブツケル	2120	ぶつける
範囲	ハンイ	2121	範囲
戦	セン	2122	戦
どっか	ドッカ	2123	どっか
その上	ソノウエ	2124	その上
と言い	トイイ	2125	と言い
顔色	カオイロ	2126	顔色
音楽	オンガク	2127	音楽
映画	エイガ	2128	映画
仮に	カリニ	2129	仮に
鉄	テツ	2130	鉄
今朝	ケサ	2131	今朝
プレゼント	プレゼント	2132	プレゼント
自分から	ジブンカラ	2133	自分から
ついてくる	ツイテクル	2134	ついてくる
あがる	アガル	2135	上がる
追いつく	オイツク	2136	追い付く
環境	カンキョウ	2137	環境
主張	シュチョウ	2138	主張
染まる	ソマル	2139	染まる
注ぐ	ソソグ	2140	注ぐ
奇妙	キミョウ	2141	奇妙
正解	セイカイ	2142	正解
満たす	ミタス	2143	満たす
暴れる	アバレル	2144	暴れる
宿	ヤド	2145	宿
つくる	ツクル	2146	作る
慎重	シンチョウ	2147	慎重
閉める	シメル	2148	閉める
表	オモテ	2149	表
大勢	オオゼイ	2150	大勢
促す	ウナガス	2151	促す
と言えば	トイエバ	2152	と言えば
心から	ココロカラ	2153	心から
暑い	アツイ	2154	暑い
持ち上げる	モチアゲル	2155	持ち上げる
蹴る	ケル	2156	蹴る
折れる	オレル	2157	折れる
終了	シュウリョウ	2158	終了
台	ダイ	2159	台
昼	ヒル	2160	昼
いかにも	イカニモ	2161	いかにも
安い	ヤスイ	2162	安い
出発	シュッパツ	2163	出発
機能	キノウ	2164	機能
言い出す	イイダス	2165	言い出す
南	ミナミ	2166	南
管理	カンリ	2167	管理
性	セイ	2168	性
純粋	ジュンスイ	2169	純粋
こっそり	コッソリ	2170	こっそり
草	クサ	2171	草
卒業	ソツギョウ	2172	卒業
契約	ケイヤク	2173	契約
基本的	キホンテキ	2174	基本的
からかう	カラカウ	2175	からかう
作品	サクヒン	2176	作品
ふる	フル	2177	ふる
ショック	ショック	2178	ショック
あう	アウ	2179	あう
なんでもない	ナンデモナイ	2180	なんでもない
目覚める	メザメル	2181	目覚める
夕方	ユウガタ	2182	夕方
爪	ツメ	2183	爪
確保	カクホ	2184	確保
生き物	イキモノ	2185	生き物
現状	ゲンジョウ	2186	現状
照らす	テラス	2187	照らす
たら	タラ	2188	たら
糸	イト	2189	糸
時々	トキドキ	2190	時々
幸い	サイワイ	2191	幸い
やあ	ヤア	2192	やあ
足元	アシモト	2193	足元
せいか	セイカ	2194	せいか
枚	マイ	2195	枚
連れて行く	ツレテイク	2196	連れて行く
緑	ミドリ	2197	緑
次々	ツギツギ	2198	次々
社会	シャカイ	2199	社会
感動	カンドウ	2200	感動
字	ジ	2201	字
堂々	ドウドウ	2202	堂々
突く	ツク	2203	突く
トイレ	トイレ	2204	トイレ
といっても	トイッテモ	2205	といっても
収まる	オサマル	2206	収まる
濃い	コイ	2207	濃い
あえて	アエテ	2208	敢えて
子ども	コドモ	2209	子供
命じる	メイジル	2210	命じる
しゃべる	シャベル	2211	喋る
買い物	カイモノ	2212	買い物
あちこち	アチコチ	2213	彼方此方
こんにちは	コンニチハ	2214	今日は
不幸	フコウ	2215	不幸
虫	ムシ	2216	虫
ひたすら	ヒタスラ	2217	只管
橋	ハシ	2218	橋
述べる	ノベル	2219	述べる
からって	カラッテ	2220	からって
具合	グアイ	2221	具合
おかしな	オカシナ	2222	可笑しな
刻む	キザム	2223	刻む
かく	カク	2224	斯く
舞台	ブタイ	2225	舞台
教育	キョウイク	2226	教育
生	ナマ	2227	生
返る	カエル	2228	返る
ものである	モノデアル	2229	ものである
機械	キカイ	2230	機械
にて	ニテ	2231	にて
細かい	コマカイ	2232	細かい
ったら	ッタラ	2233	たら
だからって	ダカラッテ	2234	だからって
徐々に	ジョジョニ	2235	徐々に
田	タ	2236	田
最低	サイテイ	2237	最低
発表	ハッピョウ	2238	発表
施設	シセツ	2239	施設
恋愛	レンアイ	2240	恋愛
三つ	ミッツ	2241	三つ
品	ヒン	2242	品
法	ホウ	2243	法
集団	シュウダン	2244	集団
脳	ノウ	2245	脳
太い	フトイ	2246	太い
夫婦	フウフ	2247	夫婦
浮く	ウク	2248	浮く
顔を出す	カオヲダス	2249	顔を出す
おっと	オット	2250	おっと
千	セン	2251	千
渡る	ワタル	2252	渡る
かまう	カマウ	2253	構う
指摘	シテキ	2254	指摘
隅	スミ	2255	隅
圧倒的	アットウテキ	2256	圧倒的
招く	マネク	2257	招く
うまくいく	ウマクイク	2258	うまくいく
具体的	グタイテキ	2259	具体的
監視	カンシ	2260	監視
喜び	ヨロコビ	2261	喜び
ルール	ルール	2262	ルール
生きていく	イキテイク	2263	生きていく
声を出す	コエヲダス	2264	声を出す
譲る	ユズル	2265	譲る
派	ハ	2266	派
男女	ダンジョ	2267	男女
仲	ナカ	2268	仲
最中	サイチュウ	2269	最中
交渉	コウショウ	2270	交渉
内部	ナイブ	2271	内部
時に	トキニ	2272	時に
波	ナミ	2273	波
実家	ジッカ	2274	実家
説得	セットク	2275	説得
会場	カイジョウ	2276	会場
ある程度	アルテイド	2277	ある程度
１つ	ヒトツ	2278	１つ
結論	ケツロン	2279	結論
被害	ヒガイ	2280	被害
逃がす	ニガス	2281	逃がす
素早い	スバヤイ	2282	素早い
間もない	マモナイ	2283	間もない
とっくに	トックニ	2284	とっくに
書類	ショルイ	2285	書類
必要ない	ヒツヨウナイ	2286	必要ない
共に	トモニ	2287	共に
というのも	トイウノモ	2288	というのも
半ば	ナカバ	2289	半ば
何もかも	ナニモカモ	2290	何もかも
浴びる	アビル	2291	浴びる
望み	ノゾミ	2292	望み
生える	ハエル	2293	生える
導く	ミチビク	2294	導く
個人	コジン	2295	個人
代表	ダイヒョウ	2296	代表
放っておく	ホウッテオク	2297	放っておく
治療	チリョウ	2298	治療
直前	チョクゼン	2299	直前
悟る	サトル	2300	悟る
操作	ソウサ	2302	操作
ほっと	ホット	2303	ほっと
岩	イワ	2304	岩
やる気	ヤルキ	2305	遣る気
単に	タンニ	2306	単に
感想	カンソウ	2307	感想
割れる	ワレル	2308	割れる
ものすごい	モノスゴイ	2309	物凄い
狂う	クルウ	2310	狂う
下ろす	オロス	2311	下ろす
礼	レイ	2312	礼
積む	ツム	2313	積む
生み出す	ウミダス	2314	生み出す
容赦	ヨウシャ	2315	容赦
そうすれば	ソウスレバ	2316	そうすれば
お客さん	オキャクサン	2317	お客さん
あっという間に	アットイウマニ	2318	あっという間に
整う	トトノウ	2319	整う
稼ぐ	カセグ	2320	稼ぐ
親しい	シタシイ	2321	親しい
とのこと	トノコト	2322	とのこと
映像	エイゾウ	2323	映像
残念ながら	ザンネンナガラ	2324	残念ながら
会議	カイギ	2325	会議
持っていく	モッテイク	2326	持っていく
去年	キョネン	2327	去年
夢中	ムチュウ	2328	夢中
うえ	ウエ	2329	上
反省	ハンセイ	2330	反省
よほど	ヨホド	2331	余程
捉える	トラエル	2332	捉える
接する	セッスル	2333	接する
資料	シリョウ	2334	資料
ときには	トキニハ	2335	ときには
正面	ショウメン	2336	正面
この間	コノアイダ	2337	この間
厄介	ヤッカイ	2338	厄介
預かる	アズカル	2339	預かる
増やす	フヤス	2340	増やす
時計	トケイ	2341	時計
鳴らす	ナラス	2342	鳴らす
煙	ケムリ	2343	煙
交わす	カワス	2344	交わす
達する	タッスル	2345	達する
どうにも	ドウニモ	2346	どうにも
歯	ハ	2347	歯
だったり	ダッタリ	2348	だったり
休み	ヤスミ	2349	休み
移す	ウツス	2350	移す
いかん	イカン	2351	いかん
誓う	チカウ	2352	誓う
おいで	オイデ	2353	おいで
つながる	ツナガル	2354	繋がる
に対し	ニタイシ	2355	に対し
久しぶりに	ヒサシブリニ	2356	久しぶりに
休憩	キュウケイ	2357	休憩
重なる	カサナル	2358	重なる
異なる	コトナル	2359	異なる
段階	ダンカイ	2360	段階
逃れる	ノガレル	2361	逃れる
もういい	モウイイ	2362	もういい
もと	モト	2363	もと
登場	トウジョウ	2364	登場
伏せる	フセル	2365	伏せる
周辺	シュウヘン	2366	周辺
目を覚ます	メヲサマス	2367	目を覚ます
人数	ニンズウ	2368	人数
移る	ウツル	2369	移る
落ち込む	オチコム	2370	落ち込む
気にしない	キニシナイ	2371	気にしない
設定	セッテイ	2372	設定
一回	イッカイ	2373	一回
辞める	ヤメル	2374	辞める
侵入	シンニュウ	2375	侵入
世間	セケン	2376	世間
仕方	シカタ	2377	仕方
居場所	イバショ	2378	居場所
互いに	タガイニ	2379	互いに
盛り上がる	モリアガル	2380	盛り上がる
発	ハツ	2381	発
都合	ツゴウ	2382	都合
だんだん	ダンダン	2383	段々
おや	オヤ	2384	おや
んな	ンナ	2385	んな
盗む	ヌスム	2386	盗む
お世話になる	オセワニナル	2387	お世話になる
処理	ショリ	2388	処理
絡む	カラム	2389	絡む
号	ゴウ	2390	号
内側	ウチガワ	2391	内側
もう一人	モウヒトリ	2392	もう一人
無意識	ムイシキ	2393	無意識
湧く	ワク	2394	湧く
年間	ネンカン	2395	年間
奇跡	キセキ	2396	奇跡
こりゃ	コリャ	2397	此れ
治る	ナオル	2398	治る
医者	イシャ	2399	医者
手に入る	テニハイル	2400	手に入る
強力	キョウリョク	2401	強力
一時	イチジ	2402	一時
一週間	イッシュウカン	2403	一週間
接触	セッショク	2404	接触
お話し	オハナシ	2405	お話し
屋根	ヤネ	2406	屋根
自分自身	ジブンジシン	2407	自分自身
各	カク	2408	各
個	コ	2409	個
同意	ドウイ	2410	同意
角	カド	2411	角
覚え	オボエ	2412	覚える
実感	ジッカン	2413	実感
公園	コウエン	2414	公園
無	ム	2415	無
ですら	デスラ	2416	ですら
かつ	カツ	2417	且つ
計算	ケイサン	2418	計算
いまだ	イマダ	2419	未だ
大声	オオゴエ	2420	大声
乱暴	ランボウ	2421	乱暴
荒い	アライ	2422	荒い
基本	キホン	2423	基本
世	ヨ	2424	世
縁	エン	2425	縁
なるべく	ナルベク	2426	成る可く
詰まる	ツマル	2427	詰まる
三日	ミッカ	2428	三日
加わる	クワワル	2429	加わる
さっぱり	サッパリ	2430	さっぱり
縛る	シバル	2431	縛る
何年	ナンネン	2432	何年
強化	キョウカ	2433	強化
データ	データ	2434	データ
謝罪	シャザイ	2435	謝罪
いちいち	イチイチ	2436	一々
登る	ノボル	2437	上る
一斉に	イッセイニ	2438	一斉に
ぜひ	ゼヒ	2439	是非
材料	ザイリョウ	2440	材料
しようとする	シヨウトスル	2441	しようとする
ちょうだい	チョウダイ	2442	頂戴
掲げる	カカゲル	2443	掲げる
常識	ジョウシキ	2444	常識
権利	ケンリ	2445	権利
昼間	ヒルマ	2446	昼間
合図	アイズ	2447	合図
飾る	カザル	2448	飾る
ホテル	ホテル	2449	ホテル
誰でも	ダレデモ	2450	誰でも
だっけ	ダッケ	2451	だっけ
両	リョウ	2452	両
意図	イト	2453	意図
一生懸命	イッショウケンメイ	2454	一生懸命
つまらない	ツマラナイ	2455	つまらない
溶ける	トケル	2456	溶ける
運動	ウンドウ	2457	運動
見逃す	ミノガス	2458	見逃す
もたらす	モタラス	2459	齎す
負う	オウ	2460	負う
正式	セイシキ	2461	正式
どうかした	ドウカシタ	2462	どうかした
実	ジツ	2463	実
何人	ナンニン	2464	何人
とうとう	トウトウ	2465	とうとう
市	シ	2466	市
いくつも	イクツモ	2467	いくつも
以下	イカ	2468	以下
貴重	キチョウ	2469	貴重
放す	ハナス	2470	放す
通常	ツウジョウ	2471	通常
上る	ノボル	2472	上る
禁止	キンシ	2473	禁止
実験	ジッケン	2474	実験
約	ヤク	2475	約
してやる	シテヤル	2476	してやる
晴れる	ハレル	2477	晴れる
遊び	アソビ	2478	遊び
連続	レンゾク	2479	連続
狙い	ネライ	2480	狙い
ページ	ページ	2481	ページ
たとえば	タトエバ	2482	例えば
くだる	クダル	2483	下る
産む	ウム	2484	生む
力強い	チカラヅヨイ	2485	力強い
注文	チュウモン	2486	注文
どこにも	ドコニモ	2487	どこにも
とすると	トスルト	2488	とすると
倍	バイ	2489	倍
野	ノ	2490	野
乗り込む	ノリコム	2491	乗り込む
というと	トイウト	2492	というと
同情	ドウジョウ	2493	同情
楽しみにする	タノシミニスル	2494	楽しみにする
こなす	コナス	2495	熟す
秋	アキ	2496	秋
尊敬	ソンケイ	2497	尊敬
復活	フッカツ	2498	復活
上手	ジョウズ	2499	上手
における	ニオケル	2500	における
中	ジュウ	2501	中
大	オオ	2502	大
生	セイ	2503	生
聴く	キク	2504	聞く
ごく	ゴク	2505	極く
解ける	トケル	2506	解ける
おとなしい	オトナシイ	2507	大人しい
手足	テアシ	2508	手足
野菜	ヤサイ	2509	野菜
だもの	ダモノ	2510	だもの
となれば	トナレバ	2511	となれば
尽くす	ツクス	2512	尽くす
整理	セイリ	2513	整理
日常	ニチジョウ	2514	日常
好み	コノミ	2515	好み
どこまでも	ドコマデモ	2516	どこまでも
汚れる	ヨゴレル	2517	汚れる
泊まる	トマル	2518	泊まる
放置	ホウチ	2519	放置
対策	タイサク	2520	対策
食べ物	タベモノ	2521	食べ物
何でもない	ナンデモナイ	2522	何でもない
いかに	イカニ	2523	如何に
ごとに	ゴトニ	2524	ごとに
そっくり	ソックリ	2525	そっくり
複数	フクスウ	2526	複数
いいね	イイネ	2527	いいね
過ぎ	スギ	2528	過ぎる
浅い	アサイ	2529	浅い
若者	ワカモノ	2530	若者
呼びかける	ヨビカケル	2531	呼び掛ける
嫉妬	シット	2532	嫉妬
眠い	ネムイ	2533	眠い
拭く	フク	2534	拭く
理想	リソウ	2535	理想
手前	テマエ	2536	手前
優先	ユウセン	2537	優先
づらい	ヅライ	2538	辛い
活躍	カツヤク	2539	活躍
と言っても	トイッテモ	2540	と言っても
発揮	ハッキ	2541	発揮
半年	ハントシ	2542	半年
のんびり	ノンビリ	2543	のんびり
話し合う	ハナシアウ	2544	話し合う
交換	コウカン	2545	交換
いったん	イッタン	2546	一旦
痛む	イタム	2547	痛む
向き合う	ムキアウ	2548	向き合う
近寄る	チカヨル	2549	近寄る
開発	カイハツ	2550	開発
逆らう	サカラウ	2551	逆らう
拍手	ハクシュ	2552	拍手
柱	ハシラ	2553	柱
種	クサ	2554	種
がたい	ガタイ	2555	がたい
によると	ニヨルト	2556	によると
その先	ソノサキ	2557	その先
単なる	タンナル	2558	単なる
気味	キミ	2559	気味
でさえ	デサエ	2560	でさえ
犠牲	ギセイ	2561	犠牲
どおり	ドオリ	2562	通り
訪ねる	タズネル	2563	訪ねる
引き受ける	ヒキウケル	2564	引き受ける
詰める	ツメル	2565	詰める
資格	シカク	2566	資格
チェック	チェック	2567	チェック
に似て	ニニテ	2568	に似て
ある日	アルヒ	2569	ある日
玉	タマ	2570	玉
愚か	オロカ	2571	愚か
せいぜい	セイゼイ	2572	精々
癖	クセ	2573	癖
散る	チル	2574	散る
維持	イジ	2575	維持
よっぽど	ヨッポド	2576	余程
案外	アンガイ	2577	案外
散歩	サンポ	2578	散歩
注目	チュウモク	2579	注目
お互いに	オタガイニ	2580	お互いに
時間がかかる	ジカンガカカル	2581	時間がかかる
今のところ	イマノトコロ	2582	今のところ
両方	リョウホウ	2583	両方
便利	ベンリ	2584	便利
きく	キク	2585	菊
かねない	カネナイ	2586	かねない
代わる	カワル	2587	代わる
不自然	フシゼン	2588	不自然
どのよう	ドノヨウ	2589	どのよう
転ぶ	コロブ	2590	転ぶ
恨む	ウラム	2591	恨む
まいる	マイル	2592	参る
一般	イッパン	2593	一般
乱れる	ミダレル	2594	乱れる
前後	ゼンゴ	2595	前後
どうしたん	ドウシタン	2596	どうしたん
までもない	マデモナイ	2597	までもない
