normalized_form	reading	senses
か弱い	カヨワイ	weak; feeble; delicate; frail; helpless
きちんと	キチント	properly; accurately; exactly; precisely; regularly|neatly; tidily; orderly
きつい	キツイ	tough; hard; severe; demanding; harsh|determined; strong-minded; forceful; formidable; fierce|strong (e.g. sunlight, alcohol); severe; intense|(too) tight; constricting; close|extreme; unusually strong
ぎこちない	ギコチナイ	awkward; clumsy; stiff; crude; unrefined; constrained
きょろきょろ	キョロキョロ	(looking around) restlessly; (looking) all around; goggling
ぎゅうぎゅう	ギュウギュウ	creaking; squeaking|packing in tightly; cramming; squeezing|hard (pressing, tying, twisting, etc.); tightly; with force|going hard (on someone); tormenting (e.g. with questions)
ぎょっと	ギョット	being startled
急度	キット	surely; undoubtedly; almost certainly; most likely (e.g. 90 percent)|sternly; severely|having no slack; rigid; stiff; tight|suddenly; abruptly; instantly
刻々	コッコク	notches; serration; indentation; jaggies (stair-step artifacts in computer images)|notched; serrated; jagged; corrugated; milled|moment by moment; hour by hour
くしゃくしゃ	クシャクシャ	crumpled; rumpled; wrinkled; creased; tousled; disheveled; dishevelled|to be annoyed; to be irritated; to be upset|noisily (chewing)
くたくた	クタクタ	exhausted; worn out; dead tired|battered (esp. of clothing); worn out; ragged; tattered|(boiling) to a pulp; to a mash; to a mush
ぎっしり	ギッシリ	tightly (packed); densely; closely; crammed
擽る	クスグル	to tickle|to tickle (one's curiosity, vanity, etc.); to arouse; to appeal to; to flatter|to make (someone) laugh; to amuse; to entertain
擽ったい	クスグッタイ	ticklish|embarrassing
くたばる	クタバル	to kick the bucket; to drop dead; to die; to croak|to be pooped; to be exhausted; to be knackered
草臥れる	クタビレル	to get tired; to become exhausted; to grow weary|to become worn out; to become battered (from long use)|to get tired of (doing); to get fed up with
嚔	クシャミ	sneeze; sneezing|spoken twice in response to someone sneezing as a charm against an early death
くどくど	クドクド	tediously (explain, complain, etc.); repeatedly; persistently; insistently; ad nauseam; at great length
ぎらぎら	ギラギラ	glaringly; dazzlingly; blazingly
くっ付く	クッツク	to adhere to; to stick to; to cling to|to keep close to; to go along with|to get involved with; to be thick with; to become intimate
くっきり	クッキリ	clearly (standing out); distinctly; sharply; boldly; in sharp relief
こう	コウ	in this way; like this; so; thus|this (much); so|uh; er; mm; well
ぐらぐら	グラグラ	wobbling; tottering; shaking; unstably; unsteadily|wavering (e.g. over a decision); dithering; indecisively|boiling up|dizzily; giddily
比べる	クラベ	contest; comparison; competition
ぐるぐる	グルグル	(turning) round and round; in circles|wrapping around; winding around
けれど	ケド	but; however; although
ぐずぐず	グズグズ	slowly; tardily; dawdling; lingering; hesitantly|complaining; grumbling|unsettled (e.g. weather)|loose; slackened
こつこつ	コツコツ	steadily; unflaggingly; untiringly; laboriously; diligently|knocking; tapping; clicking; drumming
拘る	コダワル	to be obsessive (about); to be overly concerned (with); to fuss (over); to worry too much (about); to be picky (about); to be hung up (on); to stick to|to be particular (about); to pay special attention (to); to be fastidious (about); to insist (on); to be uncompromising|to get stuck; to be obstructed
此方	コチラ	this way; this direction|here|this (one)|I; me; we; us|this person
くよくよ	クヨクヨ	to fret (over); to brood (about); to mope; to worry|worriedly; (fretting) constantly; (worrying) over this and that; (obsessing) to no end
隈無く	クマナク	all over; everywhere; in every nook and cranny|brightly; clearly
こそ	コソ	it is ... that ...; precisely; in particular; definitely; for sure; only (when, after, because, etc.)|although; while; it is the case that ... but|it is precisely because ... that ...; only because ...|not at all; not in the slightest; absolutely not; never
くっ付ける	クッツケル	to attach; to stick together; to paste; to glue|to place together; to put side by side|to make (someone) get married; to get (someone) hitched
こっそり	コッソリ	stealthily; secretly; in secret
ぐったり	グッタリ	limply; wearily; listlessly; languidly; exhaustedly; unenergetically
ぐっすり	グッスリ	soundly (sleeping); fast (asleep)
けじめ	ケジメ	distinction; difference (between two things)|sense of propriety; proper conduct (according to social or moral norms)|accountability; taking clear responsibility (for a fault or failing)|boundary; dividing point
こそこそ	コソコソ	sneakily; secretly; stealthily; on the sly
悉く	コトゴトク	altogether; entirely
くるくる	クルクル	whirling; revolving; spinning; going round and round|coiling around; winding around; rolling around|working tirelessly; working hard|constantly changing
さえ	サエ	even|(if) only; just; as long as|besides; on top of that; what's more
ころころ	コロコロ	(rolling) along; (rolling) over and over|with a bright, ringing sound (e.g. of a bell); (laughing) in a bright, high-pitched tone; merrily|(changing) frequently (of opinions, conversation topic, etc.); constantly; often; always|(losing) all too easily; (being defeated) one after another; in quick succession|chubby (and cute); plump; round
此の頃	コノゴロ	these days; nowadays; now; at present; recently; lately
ごろごろ	ゴロゴロ	rumbling (of thunder, one's stomach, etc.); grumbling; growling; purring|rolling (of something large and heavy); tumbling|all over the place; everywhere; commonly; in great numbers|idly; lazily; slothfully|(uncomfortable feeling of) having a foreign substance in one's eye, stomach, etc.
先	サキ	a short while ago; a moment ago; just now; some time ago|point; tip; end; nozzle|head (of a line); front|first; before; ahead (of)|(the way) ahead; beyond
塵箱	ゴミバコ	trash can; garbage can; rubbish bin; dustbin
さっさと	サッサト	quickly; promptly; immediately; without delay; without hesitation; briskly; hurriedly; hastily|indifferently; coldly
こんな	コンナ	this sort of; this kind of; like this; such
さあ	サア	come (on); come now; come along; here|all right; right; okay; now; here goes|well; hmm; uh; let's see; I'm not sure|here; now; there (we go); ah; oh|about that, ...; actually, ...
しか	シカ	nothing but; except; no more than
ざわざわ	ザワザワ	noisily (from many people talking); in a commotion|with a rustling sound (of leaves, branches, etc.); with a rippling sound (of the surface of a lake, etc.)|feeling a chill; with a chill (up one's spine)
さっぱり	サッパリ	feeling refreshed; feeling relieved|neat; tidy; clean|frank; open-hearted; plain; simple|completely; entirely|not in the least (with neg. verb); not at all
さん	サン	Mr; Mrs; Miss; Ms; -san|politeness marker
さらさら	サラサラ	with a rustling sound|rippling (of a stream, etc.); murmuring; purling|slurping down (ochazuke)|quickly and easily (e.g. write a letter); with ease; smoothly; fluently|smooth and dry (hair, sand, etc.); silky; powdery (e.g. snow); free-flowing (e.g. blood)
吃逆	シャックリ	hiccup; hiccough
ざらざら	ザラザラ	rough (touch, voice, etc.); coarse; gritty; sandy; granular|rattling (of beans, beads, etc.)
しくじる	シクジル	to fail; to blunder; to mess up; to screw up|to be dismissed; to be fired
