normalized_form	reading	senses
偶数	グウスウ	even number
靴	クツ	shoe; shoes; boots; footwear; footgear
空疎	クウソ	empty (e.g. argument); insubstantial; hollow; fruitless
靴屋	クツヤ	shoe store; shoe shop; shoemaker
空白	クウハク	blank space (in a document)|blank; void; gap; vacuum|whitespace
空腹	クウフク	empty stomach; hunger
凹み	ヘコミ	hollow; cavity; dent; depression
靴下	クツシタ	socks; sock; stockings; stocking
掘る	ホル	to dig; to excavate; to hollow|to delve into|to dig up (vegetables, treasure, etc.); to mine (coal, ore, etc.)|to top; to take the active role in anal sex (with another man)
繰り広げる	クリヒロゲル	to unfold; to unroll; to open
栗	クリ	Japanese chestnut (Castanea crenata)
熊	クマ	bear (any mammal of family Ursidae)
繰り返し	クリカエシ	repetition; repeat; reiteration; iteration; refrain; cycle|repeatedly; again and again; continually; persistently
繰り延べ	クリノベ	postponement
繰り上げる	クリアゲル	to move up; to advance
訓戒	クンカイ	warning; admonition; lesson or a phrase that teaches you not to do something
君	キミ	Mr; master; boy|Ms; miss|sir; madam|you; buddy; pal|monarch; ruler; sovereign; (one's) master
桑	クワ	mulberry (tree)
訓読み	クンヨミ	kun reading; kun'yomi; native Japanese reading of a Chinese character
君臨	クンリン	reigning (over a country)|dominating; controlling; dictating
桑田	クワタ	mulberry plantation
桑畑	クワバタケ	mulberry field; mulberry plantation
訓令	クンレイ	directive; instructions
訓練	クンレン	training; drill; practice; discipline
繰り出す	クリダス	to draw (a thread); to let out (e.g. a rope)|to head out as a group; to set out in large numbers; to flock; to sally forth|to send out one after another; to dispatch|to lunge (a spear); to unleash (a punch)
訓示	クンジ	instruction; direction; briefing
繰る	クル	to reel; to wind; to spin (thread)|to turn (pages); to flip through (a book); to leaf through (a book); to consult (a dictionary); to refer to (an encyclopedia)|to count (e.g. the days)|to open one-by-one; to close one-by-one (e.g. shutters)
群	グン	group; bunch; crowd; throng; swarm; band; herd; school (of fish)|group
繰り返す	クリカエス	to repeat; to do over again
群れ	ムレ	group; crowd; flock; herd; bevy; school; swarm; cluster (e.g. of stars); clump; pack (e.g. of dogs)
君子	クンシ	man of virtue; wise man; (true) gentleman|person of high rank|the four gentlemen (plum, chrysanthemum, orchid, and bamboo)
群像	グンゾウ	lively group (esp. of young people); dynamic bunch|group
群がる	ムラガル	to swarm; to gather
群れる	ムレル	to crowd; to flock; to swarm
群島	グントウ	island group; archipelago
勲章	クンショウ	decoration; order; medal
軍医	グンイ	military doctor; army surgeon
君主	クンシュ	monarch; sovereign; ruler; liege (lord)
軍	グン	army; armed forces; troops|military authorities|team; group; troupe
軍需	グンジュ	munitions; military stores
軍人	グンジン	serviceman; servicewoman; soldier; member of the armed forces; military personnel
軍部	グンブ	military authorities; army circles
軍港	グンコウ	naval port; naval station
係争	ケイソウ	dispute; contention; conflict; controversy
軍隊	グンタイ	armed forces; military; troops
軍団	グンダン	army corps; corps
軍縮	グンシュク	reduction of armaments; disarmament
軍属	グンゾク	civilian in military employ
軍備	グンビ	armaments; military preparations
軍用	グンヨウ	for military use
係官	カカリカン	official in charge
郡部	グンブ	rural districts; counties
軍服	グンプク	military uniform
軍艦	グンカン	warship; battleship
軍政	グンセイ	military administration; military government; military junta|government affairs relating to the military
郡	グン	district; county|district (of 2-20 50-home neighbourhoods or townships, in the ritsuryō period)|commandery (in China)
傾ける	カタムケル	to incline; to lean; to tip; to tilt; to slant; to bend; to list|to devote oneself to; to concentrate on; to pour one's energy into|to ruin; to squander; to empty|to drink (alcohol)
軍配	グンバイ	gourd-shaped war fan|referee's fan|stratagem; tactics
軍国主義	グンコクシュギ	militarism
傾向	ケイコウ	tendency; trend; inclination
係長	カカリチョウ	subsection head; assistant manager; chief clerk
傾斜	ケイシャ	inclination; slant; slope; bevel; list; dip; tilt; lean
傾注	ケイチュウ	devoting (oneself) to; concentrating (one's efforts) on
軍拡	グンカク	military expansion; arms buildup
刑	ケイ	penalty; sentence; punishment
刑事	ケイジ	(police) detective|criminal matter
軍事	グンジ	military affairs
傾聴	ケイチョウ	listening closely
傾倒	ケイトウ	devoting oneself to; concentrating on; being an ardent admirer of; having great esteem for|tipping over and collapsing
刑務所	ケイムショ	prison; jail; gaol; penitentiary
刑法	ケイホウ	criminal law; penal code
刑罰	ケイバツ	(criminal) punishment; penalty; sentence
啓発	ケイハツ	enlightenment; development; edification; public awareness; illumination; education; inspiration
兄	アニ	older brother; elder brother|brother-in-law (spouse's older brother or older sister's husband)
形状	ケイジョウ	shape; form
啓蒙	ケイモウ	enlightenment; illumination
兄さん	ニイサン	older brother; elder brother|brother (as older-brother figure in friendly and or work relationship)|young man; buddy; fella; laddie
型	カタ	type; style; model; pattern|mold; mould; model; pattern; template; impression|kata (set sequence of positions and movements in martial arts); style (in kabuki, noh, etc.); form|convention; tradition; (standard) form; formula; usage|(set) size; inches (in sizes of displays, disks, image sensors, etc.)
形成	ケイセイ	formation; molding; making (up); taking form; giving form to|repair (e.g. with plastic surgery); replacement; -plasty
形態	ケイタイ	form; shape; figure|morph
啓示	ケイジ	(divine) revelation
契約	ケイヤク	contract; compact; agreement
兄貴	アニキ	elder brother|one's senior|older man; man older than oneself
形勢	ケイセイ	condition; situation; prospects
契約書	ケイヤクショ	(written) contract; agreement
恵比寿	エビス	Ebisu; god of fishing and commerce
形	カタチ	(physical) form; shape; figure|visage; (facial) features; appearance (of a person); figure; looks|form (as opposed to substance); manner (of action); style; (outward) appearance|(resultant) state; situation; condition; form|behaviour (towards others); attitude; demeanor; manners
恵み	メグミ	blessing; grace
慶事	ケイジ	happy event; auspicious event; matter for congratulation
契機	ケイキ	opportunity; chance|trigger; cause
形容	ケイヨウ	description; expression (in words); qualification (e.g. of a noun with an adjective); modification; figurative expression; figure of speech; metaphor|form; figure; appearance
恵む	メグム	to bless; to show mercy to|to give (money, etc.)
形容詞	ケイヨウシ	adjective; i-adjective (in Japanese)
形見	カタミ	memento (esp. of a deceased person); keepsake; heirloom; remembrance; souvenir
兄弟	キョウダイ	brothers and sisters; siblings|half-siblings; step-siblings; siblings by marriage or adoption|mate; friend
慶弔	ケイチョウ	congratulations and condolences
形式	ケイシキ	form (as opposed to substance)|format; form; style; manner|formality; form|mode; form|form (bilinear, quadratic, etc.)
掲げる	カカゲル	to put up (a notice, sign, etc.); to hang out (e.g. a banner); to fly (e.g. a flag); to hoist; to raise; to display|to hold up high; to raise overhead|to tout (a principle, plan, etc.); to herald; to hold up (an ideal); to parade (e.g. a slogan)|to publish; to print; to carry (e.g. an article)|to tuck up (e.g. sleeves); to roll up
掲示	ケイジ	notice; bulletin; post; posting; placard
憩い	イコイ	rest; relaxation
形式的	ケイシキテキ	formal
憩う	イコウ	to rest; to relax; to repose
形跡	ケイセキ	traces; evidence
慶祝	ケイシュク	congratulation; celebration
携える	タズサエル	to carry in one's hand; to carry with one; to have on one's person; to bear|to take along (someone); to take (someone) with one; to be accompanied by
掲揚	ケイヨウ	hoisting (e.g. a flag); raising; flying; putting up
携帯	ケイタイ	carrying (on one's person or in the hand)|mobile phone; cell phone
敬具	ケイグ	yours sincerely; sincerely yours; yours truly
敬う	ウヤマウ	to show respect for; to revere; to honour; to honor; to worship; to hold in esteem
掲示板	ケイジバン	bulletin board; display board; notice board|electronic bulletin board; BBS
敬遠	ケイエン	pretending to respect (someone) while in fact staying distant; keeping at arm's length; giving a wide berth|avoiding (something unpleasant); shying away from|giving (the batter) an "intentional walk"
敬意	ケイイ	respect; honour; honor
敬老	ケイロウ	respect for the aged
景気	ケイキ	business conditions; the market; economic activity; economic climate|good (economic) times; prosperity; boom|liveliness; energy; vigour; vigor; spirit
掲載	ケイサイ	publication (e.g. of an article in a newspaper); carrying (e.g. a story); running (e.g. a serial); insertion (e.g. of an advertisement); printing; posting (e.g. on the web)
渓谷	ケイコク	valley (with a river running through it); gorge; ravine; canyon
携わる	タズサワル	to engage in; to participate in; to take part in; to be involved in
系統	ケイトウ	system|lineage; ancestry; family line|group (e.g. of colors) (colours); family (e.g. of languages); party; school (of thought)|close (evolutionary) relationship|a population sharing a common ancestor (in genetics); strain (e.g. bacterial)
景観	ケイカン	scenery
稽古	ケイコ	practice; practising; training; study
系	ケイ	system; lineage; group|corollary|system (range of strata that correspond to a particular time period)|(taxonomical) series|-type; -ish
桂	カツラ	katsura (Cercidiphyllum japonicum); Japanese Judas tree
景勝	ケイショウ	picturesque scenery; place of scenic beauty|advantageous position; strategic location
経つ	タツ	to pass (of time); to elapse
系図	ケイズ	family tree; pedigree; genealogy
敬称	ケイショウ	honorific title; honorific term of address
敬語	ケイゴ	honorific; term of respect; polite expression; honorific language
系列	ケイレツ	series; sequence; system; succession|keiretsu (group); conglomeration of businesses linked by cross-shareholdings|affiliated; subsidiary
景品	ケイヒン	gift; premium; freebie; giveaway; something additional; an extra|prize (lottery drawing, pachinko, etc.)|party favor (favour)
経営	ケイエイ	management; administration; operation; running (a business); conducting
経緯	ケイイ	details; particulars; sequence of events; circumstances; situation; how things got this way|longitude and latitude|warp and weft; warp and woof
系譜	ケイフ	genealogy; lineage; family tree; pedigree
景色	ケシキ	scenery; scene; landscape
渓流	ケイリュウ	mountain stream; mountain torrent
携帯電話	ケイタイデンワ	mobile phone; cell phone
経る	ヘル	to pass; to elapse; to go by|to pass through; to go through|to experience; to go through; to undergo
経験者	ケイケンシャ	experienced person; person who has had a particular experience
経過	ケイカ	passage (of time); elapsing; lapse|progress; development; course (of events)|transit
経営者	ケイエイシャ	manager; proprietor
経験	ケイケン	experience
経済	ケイザイ	economy; economics|finance; (one's) finances; financial circumstances|being economical; economy; thrift
経済学	ケイザイガク	economics
経歴	ケイレキ	personal history; background; career
繋がり	ツナガリ	connection; link; relationship
経度	ケイド	longitude
経由	ケイユ	going through; going via; going by way of
経済界	ケイザイカイ	economic world; financial circles; business community
経費	ケイヒ	expenses; expenditure; outgoings; outlays; costs
経路	ケイロ	course; route; path; channel|process; stages
継承	ケイショウ	inheritance; succession; accession|share-alike|inheritance
計算	ケイサン	calculation; computation; reckoning; counting; adding up; working out; figures|consideration; calculation; estimation; expectation
茎	クキ	stalk; stem
計画	ケイカク	plan; project; schedule; scheme; program; programme
蛍	ホタル	firefly (Luciola cruciata); lightning bug; glowworm
計	ケイ	plan|meter; measuring device|(in) total; total (of)
繋ぐ	ツナグ	to connect; to link together|to tie; to fasten; to restrain|to maintain; to preserve; to keep|to transfer (phone call); to put a person through|to hedge; to buy or sell forward
継ぐ	ツグ	to succeed (a person, to a position, etc.); to inherit; to take over; to follow|to patch (clothes); to mend; to repair|to add (e.g. charcoal to the fire); to replenish with; to feed with; to follow up with (e.g. remarks); to gather (one's breath)|to connect (stones)
継投	ケイトウ	relieving the (starting) pitcher
継続	ケイゾク	continuation; continuance; maintenance; persistence; going on
経理	ケイリ	accounting; administration (of money)
計上	ケイジョウ	including (a cost) in a total calculation; appropriating (a sum of money); recording; allocating; booking
継ぎ接ぎ	ツギハギ	patching (clothing); darning|cobbling together (other people's writings, thoughts, etc.); gathering
繋がる	ツナガル	to be connected (to); to be joined together; to be linked; to be tied together; to lead (to)|to connect (of a telephone call, the internet, etc.); to get through|to lead (to an outcome); to bring about (a result)|to be lined up (e.g. of cars); to extend; to stretch out|to be related (e.g. to a matter); to be connected (to); to have something to do (with)
計器	ケイキ	meter; gauge
計測	ケイソク	measuring; measurement
計量	ケイリョウ	measuring; weighing|metric; distance function
警察署	ケイサツショ	police station
警告	ケイコク	warning; caution; admonition|keikoku (penalty in judo)
警戒	ケイカイ	vigilance; caution; alertness; precaution; being on guard
軽音楽	ケイオンガク	light music; popular music
警備	ケイビ	defense; defence; guard; policing; security
警察	ケイサツ	police|police officer|police station|self-appointed enforcer (of a rule, standard, etc.); busybody; vigilante; gatekeeper
警護	ケイゴ	bodyguard; escort
警笛	ケイテキ	horn; alarm; whistle; foghorn
警官	ケイカン	police officer; policeman; constable
警部	ケイブ	police inspector
軽減	ケイゲン	abatement; reduction
警視	ケイシ	police superintendent
軽視	ケイシ	making light of; thinking little of; slighting; belittling; dismissing; contempt; disdain
警察官	ケイサツカン	police officer; policeman; policewoman
警鐘	ケイショウ	alarm bell; fire bell|warning; wake-up call
軽食	ケイショク	light meal; snack; refreshments
軽蔑	ケイベツ	contempt; scorn; disdain; despising; looking down on; slighting
警報	ケイホウ	warning; alarm; alert
軽い	カルイ	light (i.e. not heavy); feeling light (i.e. offering little resistance, moving easily)|light (i.e. of foot); effortless; nimble; agile|non-serious; minor; unimportant; trivial|slight; small; gentle; soft; easy; lighthearted (e.g. joke)|easy; simple
軽薄	ケイハク	frivolous; flippant; superficial; shallow; trifling; insincere|flattery; (insincere) compliments
警察庁	ケイサツチョウ	National Police Agency; NPA
軽傷	ケイショウ	minor injury
軽快	ケイカイ	light (of movements); nimble; sprightly; springy|light-hearted; cheerful; buoyant; jaunty; casual (e.g. clothing); rhythmical (e.g. melody)|taking a turn for the better (of an illness); receding of symptoms; recovery; convalescence
鶏卵	ケイラン	hen's egg
軽妙	ケイミョウ	light and easy; lambent; clever; witty; smart
鶏肉	ケイニク	chicken meat|fowl; poultry; bird meat
軽量	ケイリョウ	light weight
軽率	ケイソツ	rash; thoughtless; careless; hasty; imprudent
鶏	ニワトリ	chicken (Gallus gallus domesticus); domestic chicken|chicken meat
芸者	ゲイシャ	geisha; professional female entertainer, usu. at traditional banquets
芸術	ゲイジュツ	art; the arts
軽油	ケイユ	diesel oil; diesel fuel; gas oil|light oil
迎える	ムカエ	meeting; greeting; welcome|person sent to meet a visitor
軽工業	ケイコウギョウ	light industry
軽震	ケイシン	weak earthquake
芸名	ゲイメイ	stage name
劇	ゲキ	drama; play|powerful drug
芸能	ゲイノウ	public entertainment; performing arts|accomplishments; attainments
芸能人	ゲイノウジン	entertainer; performer; celebrity; entertainment personality
芸人	ゲイニン	(TV) comedian|performer (esp. of a traditional art); entertainer|talented person; accomplished person
迎撃	ゲイゲキ	intercept; interception; counter-attack
鯨	クジラ	whale (Cetacea spp.)
鯨肉	ゲイニク	whale meat
劇場	ゲキジョウ	theatre; theater; playhouse
迎える	ムカエル	to go out to meet; to receive; to welcome; to greet; to salute; to hail|to call for; to summon; to invite|to accept (e.g. as a member of a group or family); to take (e.g. a wife)|to reach (a certain time, a point in one's life, etc.); to enter (a new phase, new era, etc.); to approach (e.g. death)
撃墜	ゲキツイ	shooting down (an aircraft)
劇的	ゲキテキ	dramatic; exciting; touching|extreme
芸術家	ゲイジュツカ	artist
劇作	ゲキサク	playwriting
劇薬	ゲキヤク	powerful medicine; strong poison
撃つ	ウツ	to shoot (a gun, person, etc.); to fire
激戦	ゲキセン	fierce battle; hard-fought battle; hot contest; severe fight
激減	ゲキゲン	dramatic decrease; sharp drop; sudden fall
迎賓館	ゲイヒンカン	reception hall (esp. for visiting state dignitaries); guest house|State Guest House (esp. Akasaka palace, also guest house in Kyoto)
撃沈	ゲキチン	(attacking and) sinking (a ship); sending (a ship) to the bottom
迎合	ゲイゴウ	ingratiation; pandering; catering (to); going along with (someone or something); accommodating oneself (e.g. to public opinion)
迎え撃つ	ムカエウツ	to meet (the enemy) and attack; to engage (the approaching enemy); to confront; to intercept
激化	ゲキカ	intensification; aggravation
隙間	スキマ	gap; opening; aperture; crevice; crack; chink; space|spare moment; interval; break|unguarded moment; carelessness; chink in one's armor; weak spot
激怒	ゲキド	rage; fury
激流	ゲキリュウ	raging stream; rapids
劇団	ゲキダン	troupe; theatrical company
激情	ゲキジョウ	violent emotion; passion; fury
隙	スキ	gap; opening; room; space|break; interval; spare moment; spare time|unguarded moment; carelessness; weak spot; chink in one's armor; flaw; fault|chance; opportunity
激動	ゲキドウ	violent shock; agitation; turbulence; turmoil; upheaval; excitement
激励	ゲキレイ	encouragement; spurring (on); cheering (on)
桁	ケタ	column; beam; girder; crossbeam; spar; yard|digit; decade; order of magnitude
激突	ゲキトツ	crash; smashing (into); ramming; (violent) collision|clash (of views, interests, teams, etc.); conflict
傑作	ケッサク	masterpiece; masterwork; chef d'oeuvre; fine piece of work|(unintentionally) hilarious; absurd (e.g. blunder); outrageous; wild
欠かす	カカス	to miss (doing); to fail (to do)|to do without
傑出	ケッシュツ	being outstanding; excelling; being foremost
欠点	ケッテン	fault; defect; flaw; weak point; weakness; shortcoming; drawback|failure (in an examination); failing grade
欠員	ケツイン	vacant position; vacancy; opening; unfilled position
欠片	ケッペン	fragment; broken piece; chip; splinter; shard|ounce (of truth, conscience, etc.); trace; shred; scrap
決意	ケツイ	decision; determination; resolution
決済	ケッサイ	settlement (of an account); liquidation of debts; payment
欠陥	ケッカン	defect; fault; flaw; deformity; deficiency; shortage; gap
欠如	ケツジョ	lack; absence; shortage; deficiency; privation
決め付ける	キメツケル	to fix upon (one-sidedly); to (ignore someone's position and) arbitrarily decide something is the case|to scold; to take (a person) to task
決して	ケッシテ	(not) ever; (not) by any means; (not) in the least; (not) in any way; (not) at all
決算	ケッサン	settlement of accounts; closing accounts; financial results; reporting (of accounts)
欠く	カク	to chip; to nick; to break; to crack|to lack
決裁	ケッサイ	sanction; approval; decision
決め手	キメテ	decider; person who decides|decisive factor; clincher; key; trump card; winning move; decisive blow; conclusive evidence
決勝戦	ケッショウセン	championship game; finals (of a tournament); deciding round
欠席	ケッセキ	absence; non-attendance
決議	ケツギ	resolution; vote; decision
決める	キメル	to decide; to choose; to determine; to make up one's mind; to resolve; to set one's heart on; to settle; to arrange; to set; to appoint; to fix|to clinch (a victory); to decide (the outcome of a match)|to persist in doing; to go through with|to always do; to have made a habit of|to take for granted; to assume
欠伸	アクビ	yawn; yawning|kanji "yawning" radical (radical 76)
欠ける	カケル	to chip; to be chipped; to break (off); to be damaged|to be missing (from a set, team, etc.); to be absent; to become lost|to be lacking (in); to be short (of); to be deficient; to be wanting (in)|to wane (of the moon); to go into eclipse
決する	ケッスル	to decide; to determine; to resolve; to be decided|to break and overflow (e.g. levee); to collapse; to give way; to breach
欠損	ケッソン	deficit; shortage; loss|being partially broken; being partially missing; being partially removed
決戦	ケッセン	decisive battle; deciding match; play-off
欠乏	ケツボウ	deficiency; insufficiency; shortage; lack; want; dearth; scarcity
決勝	ケッショウ	decision of a contest|finals
潔白	ケッパク	innocence; guiltlessness; purity; uprightness; integrity
結び付き	ムスビツキ	connection; relation
決心	ケッシン	determination; resolution
決断	ケツダン	decision; determination
潔い	イサギヨイ	gracious (defeat, apology, etc.); graceful; honourable (e.g. death); noble; gallant; brave; manly; sportsmanlike|upright; righteous; honest; pure (heart); innocent|unspoiled (scenery, etc.); pure; clean
決裂	ケツレツ	breakdown (of talks, negotiations, etc.); breaking off; rupture
決別	ケツベツ	separation; farewell; parting
決定	ケッテイ	decision; determination
結婚	ケッコン	marriage
結ぶ	ムスブ	to tie; to bind; to link|to bear (fruit)|to close (e.g. deal); to confirm; to conclude|to connect (two distant places)|to close tightly; to purse (e.g. lips)
結核	ケッカク	tuberculosis; TB|concretion
穴埋め	アナウメ	filling (up) a hole|filling in (for a gap, vacancy, etc.); stopgap; filler (e.g. article)|making up (for a loss, damage, etc.); covering (a deficit); compensation|fill-in-the-blank activity; cloze test (i.e. text with words removed)
結合	ケツゴウ	combination; union; joining; linking; coupling|bond|join (in relational algebra)
潔癖	ケッペキ	fastidiousness; love of cleanliness|uprightness; integrity; scrupulousness; probity; intolerance of dishonesty
穴	アナ	hole; opening; orifice; perforation|pit; hollow; cavity; hole (e.g. in the ground)|burrow; den; lair; holt; hole|deficit; shortage; (financial) hole; loss|gap (left by a missing employee, team member, etc.); vacancy; opening
結婚式	ケッコンシキ	marriage ceremony; wedding; nuptials
結び付く	ムスビツク	to be related; to be connected; to be joined together|to result in; to lead to; to bring about
結局	ケッキョク	after all; in the end; ultimately; eventually|conclusion; end|end of a game of go, shogi, etc.
結社	ケッシャ	association; society
結構	ケッコウ	splendid; nice; wonderful; delightful; lovely; excellent; fine|sufficient; satisfactory; enough; fine; all right; OK|not needing (any more of something); (already) having enough; fine (as in "I'm fine"); no, thank you|rather; quite; fairly; pretty; surprisingly; quite a bit; fairly well|structure; construction; framework; architecture
結果	ケッカ	result; consequence; outcome; effect|as a result (of ...); as a consequence (of ...); in consequence; following ...|bearing fruit; fruiting
結託	ケッタク	conspiracy; collusion
決定的	ケッテイテキ	definite; final; decisive; conclusive
結集	ケッシュウ	concentration (of efforts, forces, etc.); gathering together; regimentation; marshalling; mobilization
血液	ケツエキ	blood
結晶	ケッショウ	crystal; crystallization; crystallisation|fruits (of labor, union, etc.)
結党	ケットウ	formation of a (political) party
結う	ユウ	to do up (hair); to dress; to arrange|to tie; to bind; to fasten; to make (a fence)
結末	ケツマツ	end; conclusion
血液型	ケツエキガタ	blood type; blood group
結論	ケツロン	conclusion (of an argument, discussion, study, etc.)|conclusion
結成	ケッセイ	formation; combination
血	チ	blood|blood; ancestry; lineage; stock|(the) blood; feelings; passions
結び	ムスビ	ending; conclusion|join; union; connecting|knot; knotting|onigiri; rice ball
結束	ケッソク	union; unity; solidarity|bundling; binding; tying|putting on (clothes, armour, etc.)
血痕	ケッコン	bloodstain
血管	ケッカン	blood vessel; vein
血友病	ケツユウビョウ	hemophilia; haemophilia
月初	ツキハジメ	beginning of the month
月給	ゲッキュウ	monthly salary
月	ツキ	Moon|month|moonlight|(a) moon; natural satellite|month (of the year)
月光	ゲッコウ	moonlight; moonbeam
月経	ゲッケイ	menstruation; menstrual period
血縁	ケツエン	blood relationship; consanguinity|blood relative
月見	ツキミ	moon viewing (esp. during the eight month of the lunar calendar)
月食	ゲッショク	lunar eclipse
月賦	ゲップ	monthly installment (instalment); monthly payment
月夜	ツキヨ	moonlit night
月末	ゲツマツ	end of the month
月額	ゲツガク	monthly sum; monthly amount
月面	ゲツメン	moon's surface
月曜	ゲツヨウ	Monday
月並み	ツキナミ	every month|trite; commonplace; conventional; hackneyed
血糖	ケットウ	blood sugar
月収	ゲッシュウ	monthly income
血圧	ケツアツ	blood pressure
月日	ツキヒ	time; years; days; (one's) life|the Moon and the Sun|month and day (of the year); (the) date
月例	ゲツレイ	monthly
件	ケン	matter; affair; case; item; subject|counter for (received) emails, text messages, voicemail messages, etc.|counter for accounts (on a website, email service, etc.)
月謝	ゲッシャ	monthly tuition fee
倹約	ケンヤク	thrift; economy; frugality
件数	ケンスウ	number of cases, incidents, items, messages, accounts, etc.
健やか	スコヤカ	vigorous; healthy; sound
倦怠	ケンタイ	weariness; fatigue; languor; boredom; tedium; ennui
月間	ゲッカン	month-long period; month
月曜日	ゲツヨウビ	Monday
月刊	ゲッカン	monthly publication; monthly issue
健在	ケンザイ	in good health; alive and well; going strong
健康的	ケンコウテキ	hygienic; healthy; healthful; sanitary
兼	ケン	and (concurrently; e.g. chauffeur and secretary); in addition to; at the same time; cum (e.g. bedroom-cum-study)
健全	ケンゼン	healthy; sound; wholesome
兼ね備える	カネソナエル	to have both; to possess both; to combine with
健気	ケナゲ	admirable; commendable; praiseworthy; laudable; brave; heroic; noble; courageous
健康保険	ケンコウホケン	health insurance
健康診断	ケンコウシンダン	health checkup; (general) medical examination; physical examination
剣	ケン	sword (esp. a large, double-edged one); blade|bayonet|swordsmanship|stinger; ovipositor; dart
健康	ケンコウ	health|healthy; sound; fit; wholesome
券	ケン	ticket; coupon; bond; certificate
兼務	ケンム	serving concurrently as; concurrently holding the position of; holding the additional post of|additional post
固い	カタイ	hard; solid; tough|stiff; tight; wooden; unpolished (e.g. writing)|strong; firm (not viscous or easily moved)|safe; steady; honest; steadfast|obstinate; stubborn
兼任	ケンニン	serving concurrently as; holding the additional post of
剣劇	ケンゲキ	sword play; samurai drama
剣士	ケンシ	swordsman; swordswoman; fencer
剣道	ケンドウ	kendo; Japanese martial art using bamboo swords
健闘	ケントウ	fighting bravely; strenuous efforts
圏内	ケンナイ	inside (a region, area, etc.); within the range (of); within the sphere (of influence, etc.)
堅持	ケンジ	adhering to (a view, policy, etc.); sticking to; holding fast to; steadfastly maintaining
喧嘩	ケンカ	quarrel; brawl; fight; squabble; scuffle; argument
兼ね合い	カネアイ	equilibrium; good balance; poise
兼ねる	カネル	to be unable to; to find difficult (unpleasant, awkward, painful) to do|to serve two or more functions or roles simultaneously; to contain (or combine) two or more features|to work in two or more jobs simultaneously (positions, etc.); to do alongside|to hesitate to do something (out of consideration for others)|to think of the future (as well as the present)
堅調	ケンチョウ	firm (market); bullish|strong (sales, economy, etc.); steady; sound
圏外	ケンガイ	outside (a region, area, etc.); out of range (of a mobile network, radar, etc.); outside the sphere (of influence, etc.); out of contention; out of reach
嫌い	キライ	disliking; hating; detesting|tendency; smack (of); touch (of)|distinction; discrimination
検診	ケンシン	medical examination (for a specific condition or disease); health screening
嫌う	キラウ	to hate; to dislike; to loathe; to abhor|to avoid|to disregard; to act without regard (for)|to be bad for (e.g. dust in machinery)
堅固	ケンゴ	solid; strong; firm
嫌がらせ	イヤガラセ	harassment; pestering
建築	ケンチク	construction; architecture (of buildings)
建立	コンリュウ	(act of) building (temple, monument, etc.); erection
建造	ケンゾウ	building; construction
建国	ケンコク	founding of a nation
嫌疑	ケンギ	suspicion (of having committed a crime, wrongdoing)
建物	タテモノ	building
建設的	ケンセツテキ	constructive
建材	ケンザイ	building material
懸命	ケンメイ	eager; earnest; strenuous; fervent; assiduous; with utmost effort
懸案	ケンアン	pending question; unresolved problem
懸賞	ケンショウ	offering a prize; prize competition; prize; reward
懸念	ケネン	worry; fear; anxiety; concern
憲章	ケンショウ	charter
建築家	ケンチクカ	architect
嫌悪	ケンオ	disgust; hate; repugnance; loathing
建議	ケンギ	proposition; motion; proposal; suggestion
憲政	ケンセイ	constitutional government|exemplary government; excellent government
憲法	ケンポウ	constitution|rules; regulation
建造物	ケンゾウブツ	structure; building
拳骨	ゲンコツ	(clenched) fist; knuckles
建設	ケンセツ	construction; establishment
懸垂	ケンスイ	pull-up (exercise); chin-up; chinning|suspension; dangling; hanging
拳	コブシ	fist
建てる	タテル	to build; to construct
捲る	マクル	to turn up; to roll up (e.g. sleeves)|to do over and over again; to do relentlessly; to do with reckless abandon; to do continuously|to stage a comeback (against) (in mahjong, horse racing, etc.); to come from behind|to turn over; to turn (pages); to leaf through (a book, etc.)|to tear off; to strip off; to take off; to pull off (e.g. a blanket); to pull up (e.g. floorboards); to tear up
検察	ケンサツ	criminal investigation; prosecution|examination; investigation
拳銃	ケンジュウ	pistol; handgun
検出	ケンシュツ	detection; sense (e.g. sensor)
権	ケン	right (to do something)|authority; power
検閲	ケンエツ	censorship|inspection; examination
検索	ケンサク	looking up (e.g. a word in a dictionary); search (e.g. on the Internet); retrieval (of information); reference
検定	ケンテイ	official certification; official approval; inspection; verification; examination|certification examination; licensing examination; proficiency test|hypothesis testing
犬	イヌ	dog (Canis (lupus) familiaris); canine|squealer; rat; snitch; informer; informant; spy|loser; asshole|counterfeit; inferior; useless; wasteful
検問	ケンモン	inspection; examination; check|checkpoint; screening; inspection (esp. by police or security)
権利	ケンリ	right; privilege
検討	ケントウ	consideration; examination; investigation; study; scrutiny; discussion; analysis; review
検事	ケンジ	public prosecutor
検証	ケンショウ	verification; confirmation; substantiation|on-site inspection (by a judge, investigator, etc.) to gather physical evidence|verification
権威	ケンイ	authority; power; influence; prestige|(an) authority (on); expert
検挙	ケンキョ	arrest; roundup
献金	ケンキン	donation; contribution; offering
権限	ケンゲン	power; authority; jurisdiction
献血	ケンケツ	blood donation
権力	ケンリョク	(political) power; authority; influence
権益	ケンエキ	rights and interests (esp. those a country holds abroad)
研究	ケンキュウ	research; study; investigation
研究者	ケンキュウシャ	researcher
絹	キヌ	silk
献立	コンダテ	menu; bill of fare|program; programme; schedule
研究員	ケンキュウイン	researcher; lab worker
検疫	ケンエキ	quarantine; medical inspection
検査	ケンサ	inspection (e.g. customs, factory); examination; test; check; scan (e.g. MRI, PET); audit
