term	reading	rank	part_of_speech
飲み込む	ノミコム	3137	動詞,一般,*,*,五段-マ行,終止形-一般
程	ホド	3138	助詞,副助詞,*,*,*,*
照れる	テレル	3139	動詞,一般,*,*,下一段-ラ行,終止形-一般
ノック	ノック	3140	名詞,普通名詞,サ変可能,*,*,*
戦場	センジョウ	3141	名詞,普通名詞,一般,*,*,*
斬る	キル	3142	動詞,非自立可能,*,*,五段-ラ行,終止形-一般
内心	ナイシン	3143	名詞,普通名詞,副詞可能,*,*,*
脚	アシ	3144	名詞,普通名詞,一般,*,*,*
技	ワザ	3145	名詞,普通名詞,一般,*,*,*
スカート	スカート	3146	名詞,普通名詞,一般,*,*,*
安堵	アンド	3147	名詞,普通名詞,サ変可能,*,*,*
顎	アゴ	3148	名詞,普通名詞,一般,*,*,*
メール	メール	3149	名詞,普通名詞,サ変可能,*,*,*
最強	サイキョウ	3150	名詞,普通名詞,一般,*,*,*
貴方	アナタ	3151	代名詞,*,*,*,*,*
脇	ワキ	3152	名詞,普通名詞,一般,*,*,*
人類	ジンルイ	3153	名詞,普通名詞,一般,*,*,*
お姉さん	オネエサン	3154	名詞,普通名詞,一般,*,*,*
囁く	ササヤク	3155	動詞,一般,*,*,五段-カ行,終止形-一般
騙す	ダマス	3156	動詞,一般,*,*,五段-サ行,終止形-一般
とやら	トヤラ	3157	助詞+助詞
塊	カタマリ	3158	名詞,普通名詞,一般,*,*,*
呆然	ボウゼン	3159	形状詞,タリ,*,*,*,*
チーム	チーム	3160	名詞,普通名詞,一般,*,*,*
お菓子	オカシ	3161	名詞,普通名詞,一般,*,*,*
部隊	ブタイ	3162	名詞,普通名詞,一般,*,*,*
訊く	キク	3163	動詞,一般,*,*,五段-カ行,終止形-一般
発動	ハツドウ	3164	名詞,普通名詞,サ変可能,*,*,*
呪い	ノロイ	3165	名詞,普通名詞,一般,*,*,*
試合	シアイ	3166	名詞,普通名詞,サ変可能,*,*,*
でしたら	デシタラ	3167	助動詞+助動詞
槍	ヤリ	3168	名詞,普通名詞,一般,*,*,*
繋がる	ツナガル	3169	動詞,一般,*,*,五段-ラ行,終止形-一般
やれやれ	ヤレヤレ	3170	感動詞+感動詞
弾く	ヒク	3171	動詞,一般,*,*,五段-カ行,終止形-一般
僕たち	ボクタチ	3172	代名詞,*,*,*,*,*
みたいだ	ミタイダ	3173	形状詞+助動詞
なー	ナー	3174	助詞,終助詞,*,*,*,*
僕ら	ボクラ	3175	代名詞+接尾辞
ええと	エエト	3176	感動詞,フィラー,*,*,*,*
気持ちよい	キモチヨイ	3177	名詞+形容詞
ホントに	ホントニ	3178	名詞+助詞
ていうか	テイウカ	3179	助詞+動詞+助詞
たしかに	タシカニ	3180	形状詞+助動詞
おはようございます	オハヨウゴザイマス	3181	感動詞,一般,*,*,*,*
おじさん	オジサン	3182	名詞+接尾辞
お前たち	オマエタチ	3183	代名詞+接尾辞
奴ら	ヤツラ	3184	名詞+接尾辞
ほんとに	ホントニ	3185	名詞+助詞
君たち	キミタチ	3186	代名詞+接尾辞
ふたり	フタリ	3187	名詞,普通名詞,副詞可能,*,*,*
けれども	ケレドモ	3188	接続詞+助詞
ため息をつく	タメイキヲツク	3189	名詞+助詞+動詞
がんばる	ガンバル	3190	動詞,一般,*,*,五段-ラ行,終止形-一般
つぶやく	ツブヤク	3191	動詞,一般,*,*,五段-カ行,終止形-一般
立ち止まる	タチドマル	3192	動詞,一般,*,*,五段-ラ行,終止形-一般
ことが出来る	コトガデキル	3193	名詞+助詞+動詞
モノ	モノ	3194	名詞,普通名詞,サ変可能,*,*,*
ハッ	ハッ	3195	感動詞,一般,*,*,*,*
アレ	アレ	3196	代名詞,*,*,*,*,*
お嬢様	オジョウサマ	3197	名詞,普通名詞,一般,*,*,*
ため息	タメイキ	3198	名詞,普通名詞,一般,*,*,*
ぼく	ボク	3199	代名詞,*,*,*,*,*
かなあ	カナア	3200	助詞+助詞
城	ジョウ	3201	名詞,普通名詞,一般,*,*,*
伝説	デンセツ	3202	名詞,普通名詞,一般,*,*,*
銃	ジュウ	3203	名詞,普通名詞,一般,*,*,*
盾	タテ	3204	名詞,普通名詞,一般,*,*,*
駆け寄る	カケヨル	3205	動詞,一般,*,*,五段-ラ行,終止形-一般
無数	ムスウ	3206	形状詞,一般,*,*,*,*
喧嘩	ケンカ	3207	名詞,普通名詞,サ変可能,*,*,*
通路	ツウロ	3208	名詞,普通名詞,一般,*,*,*
父さん	トウサン	3209	名詞,普通名詞,一般,*,*,*
天使	テンシ	3210	名詞,普通名詞,一般,*,*,*
可愛らしい	カワイラシイ	3211	形容詞,一般,*,*,形容詞,終止形-一般
見渡す	ミワタス	3212	動詞,一般,*,*,五段-サ行,終止形-一般
地図	チズ	3213	名詞,普通名詞,一般,*,*,*
傍	ソバ	3214	名詞,普通名詞,一般,*,*,*
大人しい	オトナシイ	3215	形容詞,一般,*,*,形容詞,終止形-一般
揺らす	ユラス	3216	動詞,一般,*,*,五段-サ行,終止形-一般
困惑	コンワク	3217	名詞,普通名詞,サ変可能,*,*,*
隊	タイ	3218	名詞,普通名詞,一般,*,*,*
イベント	イベント	3219	名詞,普通名詞,一般,*,*,*
あのね	アノネ	3220	連体詞+助詞
吐き出す	ハキダス	3221	動詞,一般,*,*,五段-サ行,終止形-一般
目を向ける	メヲムケル	3222	名詞+助詞+動詞
昨夜	ユウベ	3223	名詞,普通名詞,副詞可能,*,*,*
刀	カタナ	3224	名詞,普通名詞,一般,*,*,*
気持ち悪い	キモチワルイ	3225	名詞+形容詞
回収	カイシュウ	3226	名詞,普通名詞,サ変可能,*,*,*
室内	シツナイ	3227	名詞,普通名詞,一般,*,*,*
脱出	ダッシュツ	3228	名詞,普通名詞,サ変可能,*,*,*
竜	リュウ	3229	名詞,普通名詞,一般,*,*,*
画面	ガメン	3230	名詞,普通名詞,一般,*,*,*
銀	ギン	3231	名詞,普通名詞,一般,*,*,*
無茶	ムチャ	3232	名詞,普通名詞,形状詞可能,*,*,*
舞う	マウ	3233	動詞,一般,*,*,五段-ワア行,終止形-一般
夕食	ユウショク	3234	名詞,普通名詞,一般,*,*,*
歪む	ユガム	3235	動詞,一般,*,*,五段-マ行,終止形-一般
不意	フイ	3236	名詞,普通名詞,形状詞可能,*,*,*
刃	ハ	3237	名詞,普通名詞,一般,*,*,*
布団	フトン	3238	名詞,普通名詞,一般,*,*,*
天才	テンサイ	3239	名詞,普通名詞,一般,*,*,*
唐突	トウトツ	3240	形状詞,一般,*,*,*,*
手に取る	テニトル	3241	名詞+助詞+動詞
らしき	ラシキ	3242	助動詞,*,*,*,文語助動詞-ラシ,連体形-一般
メイド	メイド	3243	名詞,普通名詞,一般,*,*,*
曲	キョク	3244	名詞,普通名詞,一般,*,*,*
親友	シンユウ	3245	名詞,普通名詞,一般,*,*,*
出現	シュツゲン	3246	名詞,普通名詞,サ変可能,*,*,*
風呂	フロ	3247	名詞,普通名詞,一般,*,*,*
任務	ニンム	3248	名詞,普通名詞,一般,*,*,*
ドキドキ	ドキドキ	3249	副詞,*,*,*,*,*
膨らむ	フクラム	3250	動詞,一般,*,*,五段-マ行,終止形-一般
下着	シタギ	3251	名詞,普通名詞,一般,*,*,*
奥さん	オクサン	3252	名詞,普通名詞,一般,*,*,*
人影	ヒトカゲ	3253	名詞,普通名詞,一般,*,*,*
翼	ツバサ	3254	名詞,固有名詞,人名,名,*,*
社長	シャチョウ	3255	名詞,普通名詞,一般,*,*,*
ダメージ	ダメージ	3256	名詞,普通名詞,一般,*,*,*
回避	カイヒ	3257	名詞,普通名詞,サ変可能,*,*,*
大地	ダイチ	3258	名詞,普通名詞,一般,*,*,*
染める	ソメル	3259	動詞,一般,*,*,下一段-マ行,終止形-一般
僅か	ワズカ	3260	形状詞,一般,*,*,*,*
頭上	ズジョウ	3261	名詞,普通名詞,一般,*,*,*
威力	イリョク	3262	名詞,普通名詞,一般,*,*,*
遮る	サエギル	3263	動詞,一般,*,*,五段-ラ行,終止形-一般
振り回す	フリマワス	3264	動詞,一般,*,*,五段-サ行,終止形-一般
ったく	ッタク	3265	副詞,*,*,*,*,*
言う通り	イウトオリ	3266	動詞+名詞
目を細める	メヲホソメル	3267	名詞+助詞+動詞
サイズ	サイズ	3268	名詞,普通名詞,一般,*,*,*
攻める	セメル	3269	動詞,一般,*,*,下一段-マ行,終止形-一般
試験	シケン	3270	名詞,普通名詞,サ変可能,*,*,*
不機嫌	フキゲン	3271	名詞,普通名詞,形状詞可能,*,*,*
鍛える	キタエル	3272	動詞,一般,*,*,下一段-ア行,終止形-一般
朝食	チョウショク	3273	名詞,普通名詞,一般,*,*,*
途端	トタン	3274	名詞,普通名詞,副詞可能,*,*,*
地球	チキュウ	3275	名詞,普通名詞,一般,*,*,*
かもしれん	カモシレン	3276	助詞+助詞+動詞+助動詞
食堂	ショクドウ	3277	名詞,普通名詞,一般,*,*,*
気が付く	キガツク	3278	名詞+助詞+動詞
店員	テンイン	3279	名詞,普通名詞,一般,*,*,*
カード	カード	3280	名詞,普通名詞,一般,*,*,*
もしもし	モシモシ	3281	感動詞,一般,*,*,*,*
ぎゅっと	ギュット	3282	副詞+助詞
一発	イッパツ	3283	名詞+接尾辞
うんうん	ウンウン	3284	感動詞+感動詞
教会	キョウカイ	3285	名詞,普通名詞,一般,*,*,*
やばい	ヤバイ	3286	形容詞,一般,*,*,形容詞,終止形-一般
フフ	フフ	3287	感動詞,一般,*,*,*,*
まえ	マエ	3288	感動詞+感動詞
お父様	オトウサマ	3289	名詞,普通名詞,一般,*,*,*
こいつら	コイツラ	3290	代名詞+接尾辞
子供たち	コドモタチ	3291	名詞,普通名詞,一般,*,*,*
かなぁ	カナァ	3292	助詞+助詞
問い	トイ	3293	名詞,普通名詞,一般,*,*,*
そりゃあ	ソリャア	3294	代名詞,*,*,*,*,*
ガキ	ガキ	3295	名詞,普通名詞,一般,*,*,*
コーヒー	コーヒー	3296	名詞,普通名詞,一般,*,*,*
ふふふ	フフフ	3297	感動詞,一般,*,*,*,*
なんだと	ナンダト	3298	代名詞+助動詞+助詞
あなたたち	アナタタチ	3299	代名詞+接尾辞
押しつける	オシツケル	3300	動詞,一般,*,*,下一段-カ行,終止形-一般
様	ザマ	3301	形状詞,助動詞語幹,*,*,*,*
小説	ショウセツ	3302	名詞,普通名詞,一般,*,*,*
眉	マユ	3303	名詞,普通名詞,一般,*,*,*
小声	コゴエ	3304	名詞,普通名詞,一般,*,*,*
拭う	ヌグウ	3305	動詞,一般,*,*,五段-ワア行,終止形-一般
防御	ボウギョ	3306	名詞,普通名詞,サ変可能,*,*,*
生き残る	イキノコル	3307	動詞,一般,*,*,五段-ラ行,終止形-一般
皿	サラ	3308	名詞,普通名詞,助数詞可能,*,*,*
五十	ゴジュウ	3309	名詞,数詞,*,*,*,*
バイト	バイト	3310	名詞,普通名詞,サ変可能,*,*,*
彼氏	カレシ	3311	名詞,普通名詞,一般,*,*,*
筋肉	キンニク	3312	名詞,普通名詞,一般,*,*,*
紅茶	コウチャ	3313	名詞,普通名詞,一般,*,*,*
衣装	イショウ	3314	名詞,普通名詞,一般,*,*,*
突き出す	ツキダス	3315	動詞,一般,*,*,五段-サ行,終止形-一般
罠	ワナ	3316	名詞,普通名詞,一般,*,*,*
片付ける	カタヅケル	3317	動詞,一般,*,*,下一段-カ行,終止形-一般
駆ける	カケル	3318	動詞,一般,*,*,下一段-カ行,終止形-一般
充分	ジュウブン	3319	副詞,*,*,*,*,*
被害者	ヒガイシャ	3320	名詞,普通名詞,一般,*,*,*
卵	タマゴ	3321	名詞,普通名詞,一般,*,*,*
何やら	ナニヤラ	3322	代名詞+助詞
カメラ	カメラ	3323	名詞,普通名詞,一般,*,*,*
混じる	マジル	3324	動詞,一般,*,*,上一段-ザ行,終止形-一般
空中	クウチュウ	3325	名詞,普通名詞,一般,*,*,*
匹	ヒキ	3326	接尾辞,名詞的,助数詞,*,*,*
生物	セイブツ	3327	名詞,普通名詞,一般,*,*,*
合流	ゴウリュウ	3328	名詞,普通名詞,サ変可能,*,*,*
足を止める	アシヲトメル	3329	名詞+助詞+動詞
いやあ	イヤア	3330	感動詞,一般,*,*,*,*
再会	サイカイ	3331	名詞,普通名詞,サ変可能,*,*,*
羨ましい	ウラヤマシイ	3332	形容詞,一般,*,*,形容詞,終止形-一般
二階	ニカイ	3333	名詞+名詞
仕草	シグサ	3334	名詞,普通名詞,一般,*,*,*
回転	カイテン	3335	名詞,普通名詞,サ変可能,*,*,*
師匠	シショウ	3336	名詞,普通名詞,一般,*,*,*
跳ねる	ハネル	3337	動詞,一般,*,*,下一段-ナ行,終止形-一般
お客様	オキャクサマ	3338	名詞,普通名詞,一般,*,*,*
待機	タイキ	3339	名詞,普通名詞,サ変可能,*,*,*
ほんの少し	ホンノスコシ	3340	連体詞+副詞
即座に	ソクザニ	3341	名詞+助詞
完了	カンリョウ	3342	名詞,普通名詞,サ変可能,*,*,*
手元	テモト	3343	名詞,普通名詞,一般,*,*,*
吸い込む	スイコム	3344	動詞,一般,*,*,五段-マ行,終止形-一般
パーティー	パーティー	3345	名詞,普通名詞,一般,*,*,*
誕生日	タンジョウビ	3346	名詞,普通名詞,一般,*,*,*
テスト	テスト	3347	名詞,普通名詞,サ変可能,*,*,*
動作	ドウサ	3348	名詞,普通名詞,サ変可能,*,*,*
てめえ	テメエ	3349	代名詞,*,*,*,*,*
暴走	ボウソウ	3350	名詞,普通名詞,サ変可能,*,*,*
お風呂	オフロ	3351	接頭辞+名詞
言い切る	イイキル	3352	動詞,一般,*,*,五段-ラ行,終止形-一般
気まずい	キマズイ	3353	形容詞,一般,*,*,形容詞,終止形-一般
挑む	イドム	3354	動詞,一般,*,*,五段-マ行,終止形-一般
枝	エダ	3355	名詞,普通名詞,一般,*,*,*
台詞	セリフ	3356	名詞,普通名詞,一般,*,*,*
帯びる	オビル	3357	動詞,一般,*,*,上一段-バ行,終止形-一般
女神	メガミ	3358	名詞,普通名詞,一般,*,*,*
片方	カタホウ	3359	名詞,普通名詞,一般,*,*,*
反論	ハンロン	3360	名詞,普通名詞,サ変可能,*,*,*
返答	ヘントウ	3361	名詞,普通名詞,サ変可能,*,*,*
黒髪	クロカミ	3362	名詞,普通名詞,一般,*,*,*
大会	タイカイ	3363	名詞,普通名詞,一般,*,*,*
互い	タガイ	3364	名詞,普通名詞,一般,*,*,*
鎧	ヨロイ	3365	名詞,普通名詞,一般,*,*,*
噛む	カム	3366	動詞,一般,*,*,五段-マ行,終止形-一般
ちらり	チラリ	3367	副詞,*,*,*,*,*
袖	ソデ	3368	名詞,普通名詞,一般,*,*,*
装備	ソウビ	3369	名詞,普通名詞,サ変可能,*,*,*
異様	イヨウ	3370	形状詞,一般,*,*,*,*
迷い	マヨイ	3371	名詞,普通名詞,一般,*,*,*
戦力	センリョク	3372	名詞,普通名詞,一般,*,*,*
体勢	タイセイ	3373	名詞,普通名詞,一般,*,*,*
後方	コウホウ	3374	名詞,普通名詞,一般,*,*,*
見覚え	ミオボエ	3375	名詞,普通名詞,一般,*,*,*
暗闇	クラヤミ	3376	名詞,普通名詞,一般,*,*,*
輝き	カガヤキ	3377	名詞,普通名詞,一般,*,*,*
背を向ける	セヲムケル	3378	名詞+助詞+動詞
屋上	オクジョウ	3379	名詞,普通名詞,一般,*,*,*
曖昧	アイマイ	3380	形状詞,一般,*,*,*,*
システム	システム	3381	名詞,普通名詞,一般,*,*,*
お尻	オシリ	3382	名詞,普通名詞,一般,*,*,*
わっ	ワッ	3383	感動詞,一般,*,*,*,*
のう	ノウ	3384	感動詞,一般,*,*,*,*
無理やり	ムリヤリ	3385	副詞,*,*,*,*,*
かすか	カスカ	3386	形状詞,一般,*,*,*,*
問いかける	トイカケル	3387	動詞,一般,*,*,下一段-カ行,終止形-一般
でござる	デゴザル	3388	接続詞+動詞
はいる	ハイル	3389	動詞,一般,*,*,五段-ラ行,終止形-一般
真っ白	マッシロ	3390	形状詞,一般,*,*,*,*
手のひら	テノヒラ	3391	名詞,普通名詞,一般,*,*,*
越し	ゴシ	3392	動詞,一般,*,*,五段-サ行,連用形-一般
すなわち	スナワチ	3393	接続詞,*,*,*,*,*
抱きつく	ダキツク	3394	動詞,一般,*,*,五段-カ行,終止形-一般
気のせい	キノセイ	3395	名詞+助詞+名詞
見合わせる	ミアワセル	3396	動詞,一般,*,*,下一段-サ行,終止形-一般
ボタン	ボタン	3397	名詞,普通名詞,一般,*,*,*
めちゃくちゃ	メチャクチャ	3398	副詞,*,*,*,*,*
イヤ	イヤ	3399	形状詞,一般,*,*,*,*
ふーん	フーン	3400	感動詞,一般,*,*,*,*
身分	ミブン	3402	名詞,普通名詞,一般,*,*,*
砂	スナ	3403	名詞,普通名詞,一般,*,*,*
都市	トシ	3404	名詞,普通名詞,一般,*,*,*
第三	ダイサン	3405	接頭辞+名詞
師	シ	3406	名詞,普通名詞,一般,*,*,*
旦那	ダンナ	3407	名詞,普通名詞,一般,*,*,*
不気味	ブキミ	3408	名詞,普通名詞,形状詞可能,*,*,*
美	ビ	3409	名詞,普通名詞,一般,*,*,*
眼差し	マナザシ	3410	名詞,普通名詞,一般,*,*,*
歓声	カンセイ	3411	名詞,普通名詞,一般,*,*,*
時刻	ジコク	3412	名詞,普通名詞,副詞可能,*,*,*
ケーキ	ケーキ	3413	名詞,普通名詞,一般,*,*,*
宙	チュウ	3414	名詞,普通名詞,一般,*,*,*
群れ	ムレ	3415	名詞,普通名詞,一般,*,*,*
霧	キリ	3416	名詞,普通名詞,一般,*,*,*
桜	サクラ	3417	名詞,普通名詞,一般,*,*,*
手首	テクビ	3418	名詞,普通名詞,一般,*,*,*
後にする	アトニスル	3419	名詞+助詞+動詞
素材	ソザイ	3420	名詞,普通名詞,一般,*,*,*
精一杯	セイイッパイ	3421	名詞,普通名詞,副詞可能,*,*,*
広場	ヒロバ	3422	名詞,普通名詞,一般,*,*,*
裾	スソ	3423	名詞,普通名詞,一般,*,*,*
叶う	カナウ	3424	動詞,一般,*,*,五段-ワア行,終止形-一般
何となく	ナントナク	3425	代名詞+助詞+形容詞
表示	ヒョウジ	3426	名詞,普通名詞,サ変可能,*,*,*
万が一	マンガイチ	3427	名詞,普通名詞,副詞可能,*,*,*
やけに	ヤケニ	3428	名詞+助詞
嵐	アラシ	3429	名詞,普通名詞,一般,*,*,*
明かり	アカリ	3430	名詞,普通名詞,一般,*,*,*
復讐	フクシュウ	3431	名詞,普通名詞,サ変可能,*,*,*
妄想	モウソウ	3432	名詞,普通名詞,サ変可能,*,*,*
変態	ヘンタイ	3433	名詞,普通名詞,サ変可能,*,*,*
宝石	ホウセキ	3434	名詞,普通名詞,一般,*,*,*
具	グ	3435	名詞,普通名詞,助数詞可能,*,*,*
追い詰める	オイツメル	3436	動詞,一般,*,*,下一段-マ行,終止形-一般
拘束	コウソク	3437	名詞,普通名詞,サ変可能,*,*,*
そんな風に	ソンナフウニ	3438	連体詞+名詞+助動詞
どうかな	ドウカナ	3439	副詞+助詞+助詞
踏み込む	フミコム	3440	動詞,一般,*,*,五段-マ行,終止形-一般
かも知れない	カモシレナイ	3441	助詞+助詞+動詞+助動詞
理屈	リクツ	3442	名詞,普通名詞,一般,*,*,*
滑る	スベル	3443	動詞,一般,*,*,五段-ラ行,終止形-一般
英雄	エイユウ	3444	名詞,普通名詞,一般,*,*,*
先端	センタン	3445	名詞,普通名詞,一般,*,*,*
まあまあ	マアマア	3446	副詞,*,*,*,*,*
ミス	ミス	3447	名詞,普通名詞,サ変可能,*,*,*
針	ハリ	3448	名詞,普通名詞,助数詞可能,*,*,*
前方	ゼンポウ	3449	名詞,普通名詞,一般,*,*,*
窺う	ウカガウ	3450	動詞,一般,*,*,五段-ワア行,終止形-一般
聖	セイ	3451	名詞,固有名詞,人名,名,*,*
一時間	イチジカン	3452	名詞+名詞
襲撃	シュウゲキ	3453	名詞,普通名詞,サ変可能,*,*,*
放課後	ホウカゴ	3454	名詞,普通名詞,一般,*,*,*
髪の毛	カミノケ	3455	名詞,普通名詞,一般,*,*,*
見捨てる	ミステル	3456	動詞,一般,*,*,下一段-タ行,終止形-一般
覗き込む	ノゾキコム	3457	動詞,一般,*,*,五段-マ行,終止形-一般
故郷	コキョウ	3458	名詞,普通名詞,一般,*,*,*
崩壊	ホウカイ	3459	名詞,普通名詞,サ変可能,*,*,*
嫌がる	イヤガル	3460	形状詞+接尾辞
めく	メク	3461	接尾辞,動詞的,*,*,五段-カ行,終止形-一般
背筋	セスジ	3462	名詞,普通名詞,一般,*,*,*
民	タミ	3463	名詞,普通名詞,一般,*,*,*
推測	スイソク	3464	名詞,普通名詞,サ変可能,*,*,*
選手	センシュ	3465	名詞,普通名詞,一般,*,*,*
じゃねぇ	ジャネェ	3466	接続詞+助詞
いつも通り	イツモドオリ	3467	名詞+名詞
予想外	ヨソウガイ	3468	名詞,普通名詞,一般,*,*,*
現象	ゲンショウ	3469	名詞,普通名詞,一般,*,*,*
無表情	ムヒョウジョウ	3470	名詞,普通名詞,形状詞可能,*,*,*
淡々	タンタン	3471	形状詞,タリ,*,*,*,*
声がする	コエガスル	3472	名詞+助詞+動詞
三年	サンネン	3473	名詞+名詞
陣	ジン	3474	名詞,普通名詞,一般,*,*,*
息を吐く	イキヲツク	3475	名詞+助詞+動詞
へぇ	ヘェ	3476	感動詞,一般,*,*,*,*
ひとまず	ヒトマズ	3477	副詞,*,*,*,*,*
ハハハ	ハハハ	3478	感動詞,一般,*,*,*,*
握りしめる	ニギリシメル	3479	動詞,一般,*,*,下一段-マ行,終止形-一般
立ち去る	タチサル	3480	動詞,一般,*,*,五段-ラ行,終止形-一般
ウソ	ウソ	3481	名詞,普通名詞,一般,*,*,*
いい加減	イイカゲン	3482	名詞,普通名詞,形状詞可能,*,*,*
かっ	カッ	3483	副詞,*,*,*,*,*
引っかかる	ヒッカカル	3484	動詞,一般,*,*,五段-ラ行,終止形-一般
言うとおり	イウトオリ	3485	動詞+名詞
クソ	クソ	3486	感動詞,一般,*,*,*,*
たどり着く	タドリツク	3487	動詞,一般,*,*,五段-カ行,終止形-一般
振るう	フルウ	3488	動詞,一般,*,*,五段-ワア行,終止形-一般
ちがう	チガウ	3489	動詞,一般,*,*,五段-ワア行,終止形-一般
いつもより	イツモヨリ	3490	名詞+助詞
おおい	オオイ	3491	感動詞,一般,*,*,*,*
今さら	イマサラ	3492	副詞,*,*,*,*,*
もしくは	モシクハ	3493	接続詞,*,*,*,*,*
指さす	ユビサス	3494	動詞,一般,*,*,五段-サ行,終止形-一般
ガラス	ガラス	3495	名詞,普通名詞,一般,*,*,*
果たして	ハタシテ	3496	副詞,*,*,*,*,*
ふうん	フウン	3497	感動詞,一般,*,*,*,*
やたら	ヤタラ	3498	副詞,*,*,*,*,*
なんとも	ナントモ	3499	代名詞+助詞+助詞
やり取り	ヤリトリ	3500	名詞,普通名詞,サ変可能,*,*,*
歳	トシ	3501	名詞,普通名詞,副詞可能,*,*,*
一旦	イッタン	3503	副詞,*,*,*,*,*
に過ぎない	ニスギナイ	3504	助詞+動詞+助動詞
メッセージ	メッセージ	3505	名詞,普通名詞,一般,*,*,*
寸前	スンゼン	3506	名詞,普通名詞,一般,*,*,*
その辺	ソノヘン	3507	連体詞+名詞
目にする	メニスル	3508	名詞+助詞+動詞
とて	トテ	3509	助詞,格助詞,*,*,*,*
四十	ヨンジュウ	3510	名詞,数詞,*,*,*,*
正義	セイギ	3511	名詞,固有名詞,人名,名,*,*
胸元	ムナモト	3512	名詞,普通名詞,一般,*,*,*
冷える	ヒエル	3513	動詞,一般,*,*,下一段-ア行,終止形-一般
裸	ハダカ	3514	名詞,普通名詞,一般,*,*,*
なぜなら	ナゼナラ	3515	副詞+助動詞
棒	ボウ	3516	名詞,普通名詞,一般,*,*,*
ビル	ビル	3517	名詞,普通名詞,一般,*,*,*
皮肉	ヒニク	3518	名詞,普通名詞,形状詞可能,*,*,*
巡る	メグル	3519	動詞,一般,*,*,五段-ラ行,終止形-一般
淡い	アワイ	3520	形容詞,一般,*,*,形容詞,終止形-一般
憧れる	アコガレル	3521	動詞,一般,*,*,下一段-ラ行,終止形-一般
杖	ツエ	3522	名詞,普通名詞,一般,*,*,*
事になる	コトニナル	3523	名詞+助詞+動詞
そこそこ	ソコソコ	3524	副詞,*,*,*,*,*
塞ぐ	フサグ	3525	動詞,一般,*,*,五段-ガ行,終止形-一般
本来なら	ホンライナラ	3526	名詞+助動詞
薄暗い	ウスグライ	3527	形容詞,一般,*,*,形容詞,終止形-一般
動き出す	ウゴキダス	3528	動詞+動詞
柄	ガラ	3529	名詞,普通名詞,一般,*,*,*
削る	ケズル	3530	動詞,一般,*,*,五段-ラ行,終止形-一般
幽霊	ユウレイ	3531	名詞,普通名詞,一般,*,*,*
かもね	カモネ	3532	助詞+助詞+助詞
お酒	オサケ	3533	接頭辞+名詞
封印	フウイン	3534	名詞,普通名詞,サ変可能,*,*,*
獲物	エモノ	3535	名詞,普通名詞,一般,*,*,*
若干	ジャッカン	3536	名詞,普通名詞,副詞可能,*,*,*
候補	コウホ	3537	名詞,普通名詞,一般,*,*,*
誤魔化す	ゴマカス	3538	動詞,一般,*,*,五段-サ行,終止形-一般
再生	サイセイ	3539	名詞,普通名詞,サ変可能,*,*,*
宿る	ヤドル	3540	動詞,一般,*,*,五段-ラ行,終止形-一般
ぐっと	グット	3541	副詞+助詞
ギリギリ	ギリギリ	3542	副詞,*,*,*,*,*
女王	ジョオウ	3543	名詞,普通名詞,一般,*,*,*
姿を消す	スガタヲケス	3544	名詞+助詞+動詞
シャツ	シャツ	3545	名詞,普通名詞,一般,*,*,*
継ぐ	ツグ	3546	動詞,一般,*,*,五段-ガ行,終止形-一般
キャラ	キャラ	3547	名詞,普通名詞,一般,*,*,*
途端に	トタンニ	3548	名詞+助詞
致す	イタス	3549	動詞,非自立可能,*,*,五段-サ行,終止形-一般
食らう	クラウ	3550	動詞,一般,*,*,五段-ワア行,終止形-一般
ネット	ネット	3551	名詞,普通名詞,一般,*,*,*
懐	フトコロ	3552	名詞,普通名詞,一般,*,*,*
蛇	ヘビ	3553	名詞,普通名詞,一般,*,*,*
要するに	ヨウスルニ	3554	動詞+助詞
走り出す	ハシリダス	3555	動詞+動詞
デザイン	デザイン	3556	名詞,普通名詞,サ変可能,*,*,*
向き直る	ムキナオル	3557	動詞,一般,*,*,五段-ラ行,終止形-一般
怪物	カイブツ	3558	名詞,普通名詞,一般,*,*,*
何人か	ナンニンカ	3559	名詞+助詞
ゆえ	ユエ	3560	名詞,普通名詞,副詞可能,*,*,*
腐る	クサル	3561	動詞,一般,*,*,五段-ラ行,終止形-一般
辿り着く	タドリツク	3562	動詞,一般,*,*,五段-カ行,終止形-一般
冷める	サメル	3563	動詞,一般,*,*,下一段-マ行,終止形-一般
はーい	ハーイ	3564	感動詞,一般,*,*,*,*
仮面	カメン	3565	名詞,普通名詞,一般,*,*,*
見据える	ミスエル	3566	動詞,一般,*,*,下一段-ア行,終止形-一般
唱える	トナエル	3567	動詞,一般,*,*,下一段-ア行,終止形-一般
通り過ぎる	トオリスギル	3568	動詞,一般,*,*,上一段-ガ行,連体形-一般
谷	タニ	3569	名詞,普通名詞,一般,*,*,*
何故か	ナゼカ	3570	副詞+助詞
宇宙	ウチュウ	3571	名詞,普通名詞,一般,*,*,*
金髪	キンパツ	3572	名詞,普通名詞,一般,*,*,*
主人公	シュジンコウ	3573	名詞,普通名詞,一般,*,*,*
鈍い	ニブイ	3574	形容詞,一般,*,*,形容詞,終止形-一般
叫び	サケビ	3575	名詞,普通名詞,一般,*,*,*
この辺り	コノアタリ	3576	連体詞+名詞
ルート	ルート	3577	名詞,普通名詞,一般,*,*,*
二日	フツカ	3578	名詞+接尾辞
