term	reading	rank	part_of_speech
見える	ミエル	116	動詞,一般,*,*,下一段-ア行,終止形-一般
方	ホウ	117	名詞,普通名詞,一般,*,*,*
目	メ	118	名詞,普通名詞,一般,*,*,*
男	オトコ	119	名詞,普通名詞,一般,*,*,*
本当	ホントウ	120	名詞,普通名詞,一般,*,*,*
あなた	アナタ	121	代名詞,*,*,*,*,*
今日	キョウ	122	名詞,普通名詞,副詞可能,*,*,*
ほど	ホド	123	助詞,副助詞,*,*,*,*
言葉	コトバ	124	名詞,普通名詞,一般,*,*,*
らしい	ラシイ	125	助動詞,*,*,*,助動詞-ラシイ,終止形-一般
として	トシテ	126	助詞+動詞+助詞
など	ナド	127	助詞,副助詞,*,*,*,*
ただ	タダ	128	接続詞,*,*,*,*,*
しかし	シカシ	129	接続詞,*,*,*,*,*
かな	カナ	130	助詞+助詞
違う	チガウ	131	動詞,一般,*,*,五段-ワア行,終止形-一般
使う	ツカウ	132	動詞,一般,*,*,五段-ワア行,終止形-一般
少し	スコシ	133	副詞,*,*,*,*,*
より	ヨリ	134	副詞,*,*,*,*,*
時	トキ	135	名詞,普通名詞,副詞可能,*,*,*
家	イエ	136	名詞,普通名詞,一般,*,*,*
あれ	アレ	137	代名詞,*,*,*,*,*
彼	カレ	138	代名詞,*,*,*,*,*
よい	ヨイ	139	形容詞,非自立可能,*,*,形容詞,終止形-一般
人間	ニンゲン	140	名詞,普通名詞,一般,*,*,*
同じ	オナジ	141	形状詞,一般,*,*,*,*
上	ウエ	142	名詞,普通名詞,副詞可能,*,*,*
よく	ヨク	143	副詞,*,*,*,*,*
よう	ヨウ	144	副詞,*,*,*,*,*
とも	トモ	145	名詞,普通名詞,一般,*,*,*
でしょう	デショウ	146	助動詞,*,*,*,助動詞-デス,意志推量形
出す	ダス	147	動詞,非自立可能,*,*,五段-サ行,終止形-一般
どこ	ドコ	148	代名詞,*,*,*,*,*
しか	シカ	149	助詞,副助詞,*,*,*,*
悪い	ワルイ	150	形容詞,一般,*,*,形容詞,終止形-一般
なん	ナン	151	代名詞,*,*,*,*,*
時間	ジカン	152	名詞,普通名詞,助数詞可能,*,*,*
部屋	ヘヤ	153	名詞,普通名詞,一般,*,*,*
わけ	ワケ	154	名詞,普通名詞,一般,*,*,*
おく	オク	155	動詞,非自立可能,*,*,五段-カ行,終止形-一般
かもしれない	カモシレナイ	156	助詞+助詞+動詞+助動詞
作る	ツクル	157	動詞,一般,*,*,五段-ラ行,終止形-一般
まま	ママ	158	名詞,普通名詞,副詞可能,*,*,*
て	テ	159	接続詞,*,*,*,*,*
早い	ハヤイ	160	形容詞,一般,*,*,形容詞,終止形-一般
感じる	カンジル	161	動詞,一般,*,*,上一段-ザ行,終止形-一般
呼ぶ	ヨブ	162	動詞,一般,*,*,五段-バ行,終止形-一般
話す	ハナス	163	動詞,一般,*,*,五段-サ行,終止形-一般
何か	ナニカ	164	代名詞+助詞
のように	ノヨウニ	165	助詞+形状詞+助動詞
死ぬ	シヌ	166	動詞,一般,*,*,五段-ナ行,終止形-一般
姿	スガタ	167	名詞,普通名詞,一般,*,*,*
頭	アタマ	168	名詞,普通名詞,一般,*,*,*
強い	ツヨイ	169	形容詞,一般,*,*,形容詞,終止形-一般
こう	コウ	170	副詞,*,*,*,*,*
いつも	イツモ	171	名詞,普通名詞,副詞可能,*,*,*
会う	アウ	172	動詞,一般,*,*,五段-ワア行,終止形-一般
ばかり	バカリ	173	助詞,副助詞,*,*,*,*
一緒に	イッショニ	174	名詞+助詞
好き	スキ	175	形状詞,一般,*,*,*,*
相手	アイテ	176	名詞,普通名詞,一般,*,*,*
帰る	カエル	177	動詞,一般,*,*,五段-ラ行,終止形-一般
みんな	ミンナ	178	名詞,普通名詞,副詞可能,*,*,*
音	オト	179	名詞,普通名詞,一般,*,*,*
うち	ウチ	180	名詞,普通名詞,副詞可能,*,*,*
ずっと	ズット	181	副詞,*,*,*,*,*
のです	ノデス	182	助詞+助動詞
でした	デシタ	183	助動詞+助動詞
食べる	タベル	184	動詞,一般,*,*,下一段-バ行,終止形-一般
場所	バショ	185	名詞,普通名詞,一般,*,*,*
あと	アト	186	名詞,普通名詞,副詞可能,*,*,*
どうして	ドウシテ	187	副詞+動詞+助詞
もっと	モット	188	副詞,*,*,*,*,*
くらい	クライ	189	助詞,副助詞,*,*,*,*
世界	セカイ	190	名詞,普通名詞,一般,*,*,*
あげる	アゲル	191	動詞,非自立可能,*,*,下一段-ガ行,終止形-一般
戻る	モドル	192	動詞,一般,*,*,五段-ラ行,終止形-一般
力	チカラ	193	名詞,普通名詞,一般,*,*,*
仕事	シゴト	194	名詞,普通名詞,サ変可能,*,*,*
必要	ヒツヨウ	195	名詞,普通名詞,形状詞可能,*,*,*
続ける	ツヅケル	196	動詞,非自立可能,*,*,下一段-カ行,終止形-一般
つもり	ツモリ	197	名詞,普通名詞,一般,*,*,*
どんな	ドンナ	198	形状詞,一般,*,*,*,*
誰	ダレ	199	代名詞,*,*,*,*,*
による	ニヨル	200	助詞+動詞
次	ツギ	201	名詞,普通名詞,一般,*,*,*
かける	カケル	202	名詞,固有名詞,人名,名,*,*
見せる	ミセル	203	動詞,非自立可能,*,*,下一段-サ行,終止形-一般
動く	ウゴク	204	動詞,一般,*,*,五段-カ行,終止形-一般
となる	トナル	205	助詞+動詞
はず	ハズ	206	名詞,普通名詞,一般,*,*,*
子	コ	207	名詞,普通名詞,一般,*,*,*
歩く	アルク	208	動詞,一般,*,*,五段-カ行,終止形-一般
こちら	コチラ	209	代名詞,*,*,*,*,*
きっと	キット	210	副詞,*,*,*,*,*
意味	イミ	211	名詞,普通名詞,サ変可能,*,*,*
終わる	オワル	212	動詞,非自立可能,*,*,五段-ラ行,終止形-一般
変わる	カワル	213	動詞,一般,*,*,五段-ラ行,終止形-一般
すぐに	スグニ	214	副詞+助詞
とき	トキ	215	名詞,普通名詞,副詞可能,*,*,*
気持ち	キモチ	216	名詞,普通名詞,一般,*,*,*
始める	ハジメル	217	動詞,非自立可能,*,*,下一段-マ行,終止形-一般
大きい	オオキイ	218	形容詞,一般,*,*,形容詞,終止形-一般
ことになる	コトニナル	219	名詞+助詞+動詞
向かう	ムカウ	220	動詞,一般,*,*,五段-ワア行,終止形-一般
何も	ナニモ	221	代名詞+助詞
受ける	ウケル	222	動詞,一般,*,*,下一段-カ行,終止形-一般
日	ヒ	223	名詞,普通名詞,副詞可能,*,*,*
年	ネン	224	名詞,普通名詞,助数詞可能,*,*,*
心配	シンパイ	225	名詞,普通名詞,サ変形状詞可能,*,*,*
教える	オシエル	226	動詞,一般,*,*,下一段-ア行,終止形-一般
心	ココロ	227	名詞,普通名詞,サ変可能,*,*,*
立つ	タツ	228	動詞,一般,*,*,五段-タ行,終止形-一般
おる	オル	229	動詞,非自立可能,*,*,五段-ラ行,終止形-一般
やめる	ヤメル	230	動詞,一般,*,*,下一段-マ行,終止形-一般
外	ソト	231	名詞,普通名詞,一般,*,*,*
間	アイダ	232	名詞,普通名詞,助数詞可能,*,*,*
について	ニツイテ	233	助詞+動詞+助詞
よりも	ヨリモ	234	助詞+助詞
後	アト	235	名詞,普通名詞,副詞可能,*,*,*
様子	ヨウス	236	名詞,普通名詞,一般,*,*,*
忘れる	ワスレル	237	動詞,非自立可能,*,*,下一段-ラ行,終止形-一般
口	クチ	238	名詞,普通名詞,一般,*,*,*
にとって	ニトッテ	239	助詞+動詞+助詞
名前	ナマエ	240	名詞,普通名詞,一般,*,*,*
大きな	オオキナ	241	連体詞,*,*,*,*,*
信じる	シンジル	242	動詞,一般,*,*,上一段-ザ行,終止形-一般
すぎる	スギル	243	動詞,非自立可能,*,*,上一段-ガ行,連体形-一般
なのに	ナノニ	244	助動詞+助詞+助詞
生きる	イキル	245	動詞,一般,*,*,上一段-カ行,終止形-一般
問題	モンダイ	246	名詞,普通名詞,一般,*,*,*
理由	リユウ	247	名詞,普通名詞,一般,*,*,*
それでも	ソレデモ	248	代名詞+助詞+助詞
これから	コレカラ	249	代名詞+助詞
以上	イジョウ	250	名詞,普通名詞,副詞可能,*,*,*
逃げる	ニゲル	251	動詞,一般,*,*,下一段-ガ行,終止形-一般
多い	オオイ	252	形容詞,一般,*,*,形容詞,終止形-一般
そういう	ソウイウ	253	副詞+動詞
絶対	ゼッタイ	254	名詞,普通名詞,副詞可能,*,*,*
